label,family,p,flights,method,status,obj,assigned_str,assigned,coverage_pct,complete,wall_s
ABCD_hier,curated,4,13,aco,heuristic,23000.0,11/13,11,84.62,False,1.91
ABCD_near_thr,curated,6,20,classical_milp,optimal,20000.0,-,,,False,2.05
ABCD_near_thr,curated,6,20,integrated_milp,optimal,21100.0,-,,,False,2.96
ABCD_near_thr,curated,6,20,greedy,heuristic,20000.0,20/20,20,100.0,True,1.94
ABCD_near_thr,curated,6,20,insertion,heuristic,20000.0,20/20,20,100.0,True,1.87
ABCD_near_thr,curated,6,20,greedy_insertion,heuristic,20000.0,20/20,20,100.0,True,1.78
ABCD_near_thr,curated,6,20,repair,heuristic,20000.0,20/20,20,100.0,True,1.89
ABCD_near_thr,curated,6,20,local_search,heuristic,20000.0,20/20,20,100.0,True,1.82
ABCD_near_thr,curated,6,20,dijkstra,heuristic,26000.0,20/20,20,100.0,True,1.84
ABCD_near_thr,curated,6,20,aco,heuristic,20000.0,20/20,20,100.0,True,1.89
ABCD_no_maint,curated,4,14,classical_milp,optimal,14000.0,-,,,False,1.83
ABCD_no_maint,curated,4,14,integrated_milp,optimal,14000.0,-,,,False,2.19
ABCD_no_maint,curated,4,14,greedy,heuristic,14000.0,14/14,14,100.0,True,1.82
ABCD_no_maint,curated,4,14,insertion,heuristic,14000.0,14/14,14,100.0,True,1.75
ABCD_no_maint,curated,4,14,greedy_insertion,heuristic,14000.0,14/14,14,100.0,True,1.82
ABCD_no_maint,curated,4,14,repair,heuristic,14000.0,14/14,14,100.0,True,1.85
ABCD_no_maint,curated,4,14,local_search,heuristic,14000.0,14/14,14,100.0,True,1.76
ABCD_no_maint,curated,4,14,dijkstra,heuristic,14000.0,14/14,14,100.0,True,1.85
ABCD_no_maint,curated,4,14,aco,heuristic,14000.0,14/14,14,100.0,True,1.75
