assigned,assignment_cost,coverage_pct,family,ferry_cost,flights,label,maintenance_cost,maintenance_events,method,mip_gap,num_constraints,num_vars,solver,status,total_cost,wall_s
,32086.99999999997,,A-only,0.0,54,feas_A_p6h10_d05,2000.0000000001428,20,integrated_milp,0.0,6461,3060,highs,optimal,34087.00000000012,19.424959199968725
7,7000.0,87.5,capacity,30000.0,8,ABCD_cap_botl,300.0,3,greedy,,,,python,partial,37300.0,0.0005530999042093754
7,7000.0,87.5,capacity,30000.0,8,ABCD_cap_botl,300.0,3,insertion,,,,python,partial,37300.0,0.00039270007982850075
7,7000.0,87.5,capacity,30000.0,8,ABCD_cap_botl,300.0,3,greedy+insertion,,,,python,partial,37300.0,0.0004708000924438238
7,7000.0,87.5,capacity,30000.0,8,ABCD_cap_botl,300.0,3,repair,,,,python,partial,37300.0,0.0002943999134004116
7,7000.0,87.5,capacity,24000.0,8,ABCD_cap_botl,200.0,2,local_search,,,,python,partial,31200.0,0.0017389999702572823
7,7000.0,87.5,capacity,18000.0,8,ABCD_cap_botl,100.0,1,dijkstra,,,,python,partial,25100.0,0.0007672999054193497
7,7000.0,87.5,capacity,18000.0,8,ABCD_cap_botl,100.0,1,aco,,,,python,partial,25100.0,0.019112500129267573
,8000.0,,capacity,0.0,8,ABCD_cap_botl,0.0,0,classical_milp,0.0,32,648,highs,optimal,8000.0,0.04121530009433627
,8000.0,,capacity,0.0,8,ABCD_cap_botl,300.0,3,integrated_milp,0.0,1234,648,highs,optimal,8300.0,0.37732840003445745
11,11000.0,84.61538461538461,hierarchy,24000.0,13,ABCD_hier,300.0,3,greedy,,,,python,partial,35300.0,0.0005373000167310238
11,11000.0,84.61538461538461,hierarchy,24000.0,13,ABCD_hier,300.0,3,insertion,,,,python,partial,35300.0,0.0006881000008434057
11,11000.0,84.61538461538461,hierarchy,24000.0,13,ABCD_hier,300.0,3,greedy+insertion,,,,python,partial,35300.0,0.0010646998416632414
11,11000.0,84.61538461538461,hierarchy,24000.0,13,ABCD_hier,300.0,3,repair,,,,python,partial,35300.0,0.0005131999496370554
11,11000.0,84.61538461538461,hierarchy,18000.0,13,ABCD_hier,200.0,2,local_search,,,,python,partial,29200.0,0.005120400106534362
11,11000.0,84.61538461538461,hierarchy,18000.0,13,ABCD_hier,100.0,1,dijkstra,,,,python,partial,29100.0,0.0014044998679310083
11,11000.0,84.61538461538461,hierarchy,12000.0,13,ABCD_hier,100.0,1,aco,,,,python,partial,23100.0,0.03966900007799268
,13000.0,,hierarchy,0.0,13,ABCD_hier,0.0,0,classical_milp,0.0,85,1092,highs,optimal,13000.0,0.11821789992973208
,13000.0,,hierarchy,0.0,13,ABCD_hier,1700.0,17,integrated_milp,0.0,2445,1092,highs,optimal,14700.0,0.3957839999347925
20,20000.0,100.0,threshold,0.0,20,ABCD_near_thr,100.0,1,greedy,,,,python,complete,20100.0,0.001298899995163083
20,20000.0,100.0,threshold,0.0,20,ABCD_near_thr,100.0,1,insertion,,,,python,complete,20100.0,0.0022986000403761864
20,20000.0,100.0,threshold,0.0,20,ABCD_near_thr,100.0,1,greedy+insertion,,,,python,complete,20100.0,0.0011471000034362078
20,20000.0,100.0,threshold,0.0,20,ABCD_near_thr,100.0,1,repair,,,,python,complete,20100.0,0.0010829002130776644
20,20000.0,100.0,threshold,0.0,20,ABCD_near_thr,100.0,1,local_search,,,,python,complete,20100.0,0.014688299968838692
20,20000.0,100.0,threshold,6000.0,20,ABCD_near_thr,0.0,0,dijkstra,,,,python,complete,26000.0,0.013079699827358127
20,20000.0,100.0,threshold,0.0,20,ABCD_near_thr,0.0,0,aco,,,,python,complete,20000.0,0.11413170001469553
