stem,mode,flights,assigned,unassigned,cost,obj,gap_%,status,cpu_s
DataCplex_density=0.5_p=10_h=15_test_0,heuristic,140,140,0,1474618.0,1474618.0,,heuristic,2.57
DataCplex_density=0.5_p=10_h=15_test_0,milp,140,140,0,1132028.0,1132028.0,,optimal,14.69
DataCplex_density=0.5_p=10_h=21_test_0,heuristic,109,109,0,1226875.0,1226875.0,,heuristic,2.89
DataCplex_density=0.5_p=10_h=21_test_0,milp,109,109,0,879863.0,879863.0,,optimal,13.57
DataCplex_density=0.5_p=10_h=7_test_0,heuristic,102,102,0,1041106.0,1041106.0,,heuristic,3.07
DataCplex_density=0.5_p=10_h=7_test_0,milp,102,0,102,0.0,0.0,,infeasible,6.91
