AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
0,FERRY,FERRY,I,D,0.0,60.0,,,,
0,FLIGHT,F3,D,H,805.0,124.0,900.0,1800.0,11.441,14.441
0,FLIGHT,F17,H,B,2343.0,60.0,776.0,1676.0,10.373,13.373
0,FLIGHT,F31,B,D,5322.0,66.0,716.0,1616.0,8.304,11.304
0,FERRY,FERRY,D,A,5388.0,60.0,,,,
0,FLIGHT,F33,A,H,6124.0,174.0,650.0,1550.0,7.747,10.747
1,FERRY,FERRY,G,A,0.0,60.0,,,,
1,FLIGHT,F8,A,F,1881.0,102.0,900.0,1800.0,10.694,13.694
1,FLIGHT,F27,F,C,3746.0,177.0,798.0,1698.0,9.399,12.399
1,FERRY,FERRY,C,F,3923.0,60.0,,,,
1,FLIGHT,F35,F,B,6733.0,97.0,621.0,1521.0,7.324,10.324
1,FLIGHT,F50,B,D,13849.0,98.0,524.0,1424.0,2.383,5.383
2,FLIGHT,F9,I,B,1908.0,151.0,900.0,1800.0,10.675,13.675
2,FERRY,FERRY,B,C,2059.0,60.0,,,,
2,FLIGHT,F18,C,D,2356.0,167.0,749.0,1649.0,10.364,13.364
2,FLIGHT,F34,D,C,6559.0,91.0,582.0,1482.0,7.445,10.445
2,FERRY,FERRY,C,E,6650.0,60.0,,,,
2,FLIGHT,F40,E,D,9358.0,98.0,491.0,1391.0,5.501,8.501
3,FLIGHT,F2,F,C,530.0,100.0,900.0,1800.0,11.632,14.632
3,FLIGHT,F11,C,B,2025.0,117.0,800.0,1700.0,10.594,13.594
3,FERRY,FERRY,B,I,2142.0,60.0,,,,
3,FLIGHT,F19,I,C,2483.0,157.0,683.0,1583.0,10.276,13.276
3,FERRY,FERRY,C,A,2640.0,60.0,,,,
3,FLIGHT,F38,A,C,8381.0,79.0,526.0,1426.0,6.18,9.18
4,FLIGHT,F1,D,E,444.0,124.0,900.0,1800.0,11.692,14.692
4,FLIGHT,F7,E,G,1095.0,122.0,776.0,1676.0,11.24,14.24
4,FERRY,FERRY,G,I,1217.0,60.0,,,,
4,FLIGHT,F21,I,G,2581.0,74.0,654.0,1554.0,10.208,13.208
4,FERRY,FERRY,G,A,2655.0,60.0,,,,
4,FLIGHT,F36,A,H,8186.0,179.0,580.0,1480.0,6.315,9.315
5,FERRY,FERRY,B,C,0.0,60.0,,,,
5,FLIGHT,F14,C,G,2158.0,60.0,900.0,1800.0,10.501,13.501
5,FLIGHT,F23,G,H,3384.0,131.0,840.0,1740.0,9.65,12.65
5,FLIGHT,F25,H,D,3540.0,166.0,709.0,1609.0,9.542,12.542
5,FERRY,FERRY,D,B,3706.0,60.0,,,,
5,FLIGHT,F37,B,H,8352.0,118.0,543.0,1443.0,6.2,9.2
6,FLIGHT,F4,H,I,821.0,119.0,900.0,1800.0,11.43,14.43
6,FLIGHT,F10,I,H,1917.0,85.0,781.0,1681.0,10.669,13.669
6,FLIGHT,F13,H,D,2128.0,170.0,696.0,1596.0,10.522,13.522
6,FERRY,FERRY,D,H,2298.0,60.0,,,,
6,FLIGHT,F28,H,I,3748.0,123.0,526.0,1426.0,9.397,12.397
6,FLIGHT,F41,I,F,9659.0,174.0,403.0,1303.0,5.292,8.292
6,FLIGHT,F44,F,E,10998.0,164.0,229.0,1129.0,4.362,7.362
6,FERRY,FERRY,E,F,11162.0,60.0,,,,
6,MAINT,A,F,F,11222.0,90.0,,,,
6,FLIGHT,F49,F,B,13553.0,169.0,900.0,965.0,2.588,5.588
7,FLIGHT,F6,B,G,891.0,109.0,900.0,1800.0,11.381,14.381
7,FLIGHT,F12,G,D,2049.0,122.0,791.0,1691.0,10.577,13.577
7,FLIGHT,F20,D,C,2548.0,160.0,669.0,1569.0,10.231,13.231
7,FLIGHT,F24,C,F,3415.0,97.0,509.0,1409.0,9.628,12.628
7,FLIGHT,F26,F,E,3674.0,90.0,412.0,1312.0,9.449,12.449
7,FERRY,FERRY,E,H,3764.0,60.0,,,,
7,FLIGHT,F29,H,D,3947.0,76.0,322.0,1222.0,9.259,12.259
7,FERRY,FERRY,D,F,4023.0,60.0,,,,
7,FLIGHT,F45,F,I,11093.0,173.0,246.0,1146.0,4.297,7.297
8,FERRY,FERRY,B,A,0.0,60.0,,,,
8,FLIGHT,F15,A,F,2244.0,130.0,900.0,1800.0,10.442,13.442
8,FERRY,FERRY,F,A,2374.0,60.0,,,,
8,FLIGHT,F32,A,G,5493.0,107.0,770.0,1670.0,8.185,11.185
8,FLIGHT,F43,G,H,10805.0,98.0,663.0,1563.0,4.497,7.497
8,FLIGHT,F47,H,A,12662.0,163.0,565.0,1465.0,3.207,6.207
8,FLIGHT,F48,A,I,13484.0,81.0,402.0,1302.0,2.636,5.636
9,FLIGHT,F5,F,B,837.0,110.0,900.0,1800.0,11.419,14.419
9,FLIGHT,F16,B,F,2276.0,146.0,790.0,1690.0,10.419,13.419
9,FERRY,FERRY,F,E,2422.0,60.0,,,,
9,FLIGHT,F22,E,A,3333.0,78.0,644.0,1544.0,9.685,12.685
9,FLIGHT,F30,A,G,5281.0,64.0,566.0,1466.0,8.333,11.333
9,FLIGHT,F39,G,C,9028.0,164.0,502.0,1402.0,5.731,8.731
9,FLIGHT,F42,C,I,9834.0,141.0,338.0,1238.0,5.171,8.171
9,FERRY,FERRY,I,F,9975.0,60.0,,,,
9,FLIGHT,F46,F,G,12014.0,116.0,197.0,1097.0,3.657,6.657
