Dataset : data/phase1_25\I43_density=0.8_p=16_h=18.json
Mode    : heuristic
Flights : 230/230 assigned  (0 unassigned)
Cost    : 692250
CPU     : 1.3s

  AID    Flt   Busy(min)   Free(min)
    0     21        3059       22730
    1     11        1848       23941
    2     15        2612       23177
    3     13        2009       23780
    4     12        2067       23722
    5     15        1958       23831
    6     12        1855       23934
    7     13        1862       23927
    8     14        1948       23841
    9     14        2405       23384
   10     13        1962       23827
   11     14        1941       23848
   12     15        2235       23554
   13     17        2436       23353
   14     18        2536       23253
   15     13        2380       23409
