Dataset : data/phase1_25\I44_density=0.95_p=16_h=18.json
Mode    : heuristic
Flights : 274/274 assigned  (0 unassigned)
Cost    : 799104
CPU     : 1.6s

  AID    Flt   Busy(min)   Free(min)
    0     20        3360       22484
    1     23        3423       22421
    2     16        2364       23480
    3     19        2742       23102
    4     18        2694       23150
    5     16        2814       23030
    6     12        1885       23959
    7     17        2328       23516
    8     19        3224       22620
    9     18        2887       22957
   10     11        1794       24050
   11     14        2093       23751
   12     17        2872       22972
   13     17        2733       23111
   14     19        3101       22743
   15     18        2730       23114
