Dataset : data/phase1_25\I35_density=1_p=12_h=14.json
Mode    : heuristic
Flights : 168/168 assigned  (0 unassigned)
Cost    : 520872
CPU     : 1.1s

  AID    Flt   Busy(min)   Free(min)
    0     18        2715       17251
    1     13        2087       17879
    2     16        2859       17107
    3     16        1979       17987
    4     16        2655       17311
    5     10        1626       18340
    6     11        1648       18318
    7     11        1881       18085
    8     14        1959       18007
    9     14        1964       18002
   10     13        1961       18005
   11     16        2237       17729
