Dataset : data/phase1_25\I34_density=0.95_p=12_h=14.json
Mode    : heuristic
Flights : 160/160 assigned  (0 unassigned)
Cost    : 540464
CPU     : 1.0s

  AID    Flt   Busy(min)   Free(min)
    0     13        2004       18003
    1     13        2065       17942
    2     13        1859       18148
    3      9        1641       18366
    4     13        2075       17932
    5     15        2164       17843
    6     16        2473       17534
    7     14        1985       18022
    8     14        2557       17450
    9     12        1911       18096
   10     16        2153       17854
   11     12        1906       18101
