AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
5,FERRY,FERRY,G,C,0.0,60.0,,,,
5,FLIGHT,F5,C,D,673.0,153.0,900.0,1800.0,11.533,14.533
5,FERRY,FERRY,D,F,826.0,60.0,,,,
5,FLIGHT,F22,F,C,3656.0,154.0,747.0,1647.0,9.461,12.461
5,FERRY,FERRY,C,G,3810.0,60.0,,,,
5,FLIGHT,F37,G,E,5412.0,153.0,593.0,1493.0,8.242,11.242
5,FERRY,FERRY,E,B,5565.0,60.0,,,,
5,FLIGHT,F63,B,F,8372.0,64.0,440.0,1340.0,6.186,9.186
5,FLIGHT,F82,F,G,10938.0,109.0,376.0,1276.0,4.404,7.404
5,FLIGHT,F87,G,D,11246.0,130.0,267.0,1167.0,4.19,7.19
5,FERRY,FERRY,D,B,11376.0,60.0,,,,
5,FLIGHT,F91,B,A,12227.0,118.0,137.0,1037.0,3.509,6.509
5,MAINT,A,A,A,12345.0,90.0,,,,
5,FLIGHT,F93,A,B,12558.0,164.0,900.0,919.0,3.279,6.279
5,FLIGHT,F96,B,H,13476.0,111.0,736.0,755.0,2.642,5.642
6,FERRY,FERRY,E,C,0.0,60.0,,,,
6,FLIGHT,F9,C,H,805.0,138.0,900.0,1800.0,11.441,14.441
6,FERRY,FERRY,H,B,943.0,60.0,,,,
6,FLIGHT,F18,B,H,2503.0,113.0,762.0,1662.0,10.262,13.262
6,FERRY,FERRY,H,A,2616.0,60.0,,,,
6,FLIGHT,F35,A,C,5244.0,124.0,649.0,1549.0,8.358,11.358
6,FERRY,FERRY,C,F,5368.0,60.0,,,,
6,FLIGHT,F56,F,G,7740.0,92.0,525.0,1425.0,6.625,9.625
6,FERRY,FERRY,G,I,7832.0,60.0,,,,
6,FLIGHT,F84,I,F,11143.0,120.0,433.0,1333.0,4.262,7.262
7,FERRY,FERRY,D,F,0.0,60.0,,,,
7,FLIGHT,F7,F,B,757.0,153.0,900.0,1800.0,11.474,14.474
7,FLIGHT,F15,B,C,2202.0,109.0,747.0,1647.0,10.471,13.471
7,FERRY,FERRY,C,A,2311.0,60.0,,,,
7,FLIGHT,F29,A,C,3938.0,91.0,638.0,1538.0,9.265,12.265
7,FLIGHT,F38,C,B,5483.0,172.0,547.0,1447.0,8.192,11.192
7,FLIGHT,F44,B,E,6516.0,100.0,375.0,1275.0,7.475,10.475
7,FERRY,FERRY,E,D,6616.0,60.0,,,,
7,FLIGHT,F55,D,C,7724.0,146.0,275.0,1175.0,6.636,9.636
7,MAINT,A,C,C,7870.0,90.0,,,,
7,FLIGHT,F69,C,G,9298.0,150.0,900.0,1029.0,5.543,8.543
7,FERRY,FERRY,G,I,9448.0,60.0,,,,
7,FLIGHT,F76,I,G,9683.0,141.0,750.0,879.0,5.276,8.276
7,FERRY,FERRY,G,I,9824.0,60.0,,,,
7,FLIGHT,F98,I,H,13753.0,114.0,609.0,738.0,2.449,5.449
8,FERRY,FERRY,I,G,0.0,60.0,,,,
8,FLIGHT,F10,G,E,904.0,148.0,900.0,1800.0,11.372,14.372
8,FERRY,FERRY,E,H,1052.0,60.0,,,,
8,FLIGHT,F23,H,G,3674.0,99.0,752.0,1652.0,9.449,12.449
8,FERRY,FERRY,G,E,3773.0,60.0,,,,
8,FLIGHT,F34,E,D,5081.0,133.0,653.0,1553.0,8.472,11.472
8,FLIGHT,F43,D,B,6452.0,154.0,520.0,1420.0,7.519,10.519
8,FLIGHT,F57,B,G,7868.0,108.0,366.0,1266.0,6.536,9.536
8,FLIGHT,F60,G,F,8132.0,90.0,258.0,1158.0,6.353,9.353
8,FLIGHT,F64,F,A,8394.0,144.0,168.0,1068.0,6.171,9.171
8,MAINT,A,A,A,8538.0,90.0,,,,
8,FLIGHT,F71,A,E,9548.0,148.0,900.0,924.0,5.369,8.369
8,FERRY,FERRY,E,D,9696.0,60.0,,,,
8,FLIGHT,F80,D,C,10760.0,116.0,752.0,776.0,4.528,7.528
8,FLIGHT,F81,C,F,10881.0,163.0,636.0,660.0,4.444,7.444
9,FLIGHT,F6,A,B,725.0,69.0,900.0,1800.0,11.497,14.497
9,FERRY,FERRY,B,C,794.0,60.0,,,,
9,FLIGHT,F12,C,I,1106.0,68.0,831.0,1731.0,11.232,14.232
9,FERRY,FERRY,I,H,1174.0,60.0,,,,
9,FLIGHT,F24,H,F,3764.0,161.0,763.0,1663.0,9.386,12.386
9,FERRY,FERRY,F,A,3925.0,60.0,,,,
9,FLIGHT,F39,A,B,6156.0,62.0,602.0,1502.0,7.725,10.725
9,FLIGHT,F53,B,A,7655.0,135.0,540.0,1440.0,6.684,9.684
9,FLIGHT,F67,A,H,9240.0,146.0,405.0,1305.0,5.583,8.583
9,FLIGHT,F73,H,F,9628.0,123.0,259.0,1159.0,5.314,8.314
9,FERRY,FERRY,F,I,9751.0,60.0,,,,
9,FLIGHT,F78,I,F,10592.0,95.0,136.0,1036.0,4.644,7.644
9,MAINT,A,F,F,10687.0,90.0,,,,
9,FLIGHT,F89,F,G,11273.0,139.0,900.0,941.0,4.172,7.172
9,FLIGHT,F95,G,C,12668.0,72.0,761.0,802.0,3.203,6.203
9,FERRY,FERRY,C,A,12740.0,60.0,,,,
9,FLIGHT,F99,A,F,13824.0,96.0,689.0,730.0,2.4,5.4
