Dataset : data/phase1_25\I42_density=0.65_p=16_h=18.json
Mode    : heuristic
Flights : 187/187 assigned  (0 unassigned)
Cost    : 640285
CPU     : 1.2s

  AID    Flt   Busy(min)   Free(min)
    0     11        1630       24157
    1     10        1729       24058
    2     17        2134       23653
    3     11        1675       24112
    4     11        1610       24177
    5     12        1708       24079
    6     14        1845       23942
    7     11        1832       23955
    8     10        1766       24021
    9     14        2040       23747
   10     14        2540       23247
   11      9        1645       24142
   12     12        1792       23995
   13     10        1586       24201
   14     12        1827       23960
   15      9        1453       24334
