AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
0,FLIGHT,F3,D,C,1944.0,131.0,900.0,1800.0,14.65,17.65
0,FLIGHT,F7,C,E,2543.0,169.0,769.0,1669.0,14.234,17.234
0,FLIGHT,F9,E,F,3493.0,94.0,600.0,1500.0,13.574,16.574
0,FLIGHT,F16,F,E,3876.0,113.0,506.0,1406.0,13.308,16.308
0,FLIGHT,F23,E,F,5293.0,135.0,393.0,1293.0,12.324,15.324
0,FERRY,FERRY,F,B,5428.0,60.0,,,,
0,FLIGHT,F33,B,H,7711.0,135.0,258.0,1158.0,10.645,13.645
0,FERRY,FERRY,H,I,7846.0,60.0,,,,
0,MAINT,A,I,I,7906.0,90.0,,,,
0,FLIGHT,F50,I,C,10718.0,131.0,900.0,1023.0,8.557,11.557
0,FLIGHT,F54,C,F,10973.0,167.0,769.0,892.0,8.38,11.38
0,FLIGHT,F58,F,I,12344.0,138.0,602.0,725.0,7.428,10.428
0,FLIGHT,F64,I,C,13654.0,159.0,464.0,587.0,6.518,9.518
0,FLIGHT,F71,C,F,15352.0,180.0,305.0,428.0,5.339,8.339
0,MAINT,A,F,F,15532.0,90.0,,,,
0,FLIGHT,F78,F,B,18118.0,168.0,900.0,248.0,3.418,6.418
1,FERRY,FERRY,D,E,0.0,60.0,,,,
1,FLIGHT,F2,E,I,563.0,160.0,900.0,1800.0,15.609,18.609
1,FERRY,FERRY,I,E,723.0,60.0,,,,
1,FLIGHT,F36,E,C,7997.0,138.0,740.0,1640.0,10.447,13.447
1,FERRY,FERRY,C,A,8135.0,60.0,,,,
1,FLIGHT,F52,A,D,10859.0,154.0,602.0,1502.0,8.459,11.459
1,FLIGHT,F73,D,C,15500.0,90.0,448.0,1348.0,5.236,8.236
1,FERRY,FERRY,C,I,15590.0,60.0,,,,
1,FLIGHT,F83,I,G,19174.0,144.0,358.0,1258.0,2.685,5.685
2,FLIGHT,F1,A,B,537.0,165.0,900.0,1800.0,15.627,18.627
2,FLIGHT,F14,B,F,3829.0,172.0,735.0,1635.0,13.341,16.341
2,FERRY,FERRY,F,E,4001.0,60.0,,,,
2,FLIGHT,F32,E,B,7639.0,79.0,563.0,1463.0,10.695,13.695
2,FLIGHT,F34,B,H,7807.0,149.0,484.0,1384.0,10.578,13.578
2,FERRY,FERRY,H,F,7956.0,60.0,,,,
2,FLIGHT,F48,F,H,10539.0,102.0,335.0,1235.0,8.681,11.681
