Dataset : data/phase1_25\I53_density=0.8_p=20_h=21.json
Mode    : heuristic
Flights : 336/336 assigned  (0 unassigned)
Cost    : 941743
CPU     : 1.8s

  AID    Flt   Busy(min)   Free(min)
    0     15        2154       27929
    1     18        2681       27402
    2     15        2109       27974
    3     18        2915       27168
    4     18        3001       27082
    5     19        2936       27147
    6     15        2694       27389
    7     20        2966       27117
    8     19        3097       26986
    9     21        3233       26850
   10     15        2211       27872
   11     14        2088       27995
   12     14        2460       27623
   13     17        2937       27146
   14     16        2588       27495
   15     18        2942       27141
   16     17        2602       27481
   17     19        2811       27272
   18     13        2123       27960
   19     15        2580       27503
