stem,mode,flights,assigned,unassigned,cost,obj,gap_%,status,cpu_s
DataCplex_density=0.75_p=8_h=7_test_0,heuristic,42,42,0,158029.0,158029.0,,heuristic,0.02
DataCplex_density=0.75_p=8_h=7_test_1,heuristic,42,42,0,161648.0,161648.0,,heuristic,0.01
DataCplex_density=0.75_p=8_h=7_test_2,heuristic,42,42,0,162897.0,162897.0,,heuristic,0.01
