stem,mode,flights,assigned,unassigned,cost,obj,gap_%,status,cpu_s
DataCplex_density=0.5_p=4_h=7_test_0,milp,28,28,0,14732.0,14732.0,,optimal,7.45
DataCplex_density=0.5_p=6_h=10_test_0,milp,54,54,0,0.0,0.0,3.557752190819328e+47,intermediateNonInteger,46.33
DataCplex_density=0.8_p=4_h=7_test_0,milp,30,30,0,15836.0,15836.0,,optimal,7.11
