AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
10,FERRY,FERRY,D,E,1096.0,60.0,,,,
10,MAINT,B,E,E,1156.0,90.0,,,,
10,FLIGHT,F38,E,I,3462.0,142.0,240.0,420.0,-0.404,-1.404
10,MAINT,D,I,I,3604.0,420.0,,,,
10,FLIGHT,F71,I,K,6513.0,90.0,240.0,420.0,2.272,5.272
10,FLIGHT,F79,K,F,6884.0,75.0,150.0,330.0,2.014,5.014
10,FERRY,FERRY,F,I,6959.0,60.0,,,,
10,MAINT,A,I,I,7019.0,45.0,,,,
10,FLIGHT,F86,I,C,7686.0,115.0,240.0,255.0,1.457,4.457
10,FLIGHT,F98,C,K,8222.0,72.0,125.0,140.0,1.085,4.085
10,MAINT,B,K,K,8294.0,90.0,,,,
10,FLIGHT,F129,K,F,11033.0,168.0,240.0,420.0,-0.867,2.133
10,MAINT,C,F,F,11201.0,240.0,,,,
10,FLIGHT,F135,F,I,11931.0,154.0,240.0,420.0,3.66,1.509
10,FERRY,FERRY,I,D,12085.0,60.0,,,,
10,MAINT,A,D,D,12145.0,45.0,,,,
10,FLIGHT,F145,D,B,12452.0,103.0,240.0,266.0,3.298,1.147
10,FERRY,FERRY,B,K,12555.0,60.0,,,,
10,MAINT,B,K,K,12615.0,90.0,,,,
10,FLIGHT,F173,K,B,14870.0,167.0,240.0,420.0,1.619,-0.532
10,MAINT,D,B,B,15037.0,420.0,,,,
10,FLIGHT,F198,B,E,16495.0,172.0,240.0,420.0,3.279,6.279
10,MAINT,A,E,E,16667.0,45.0,,,,
10,FLIGHT,F202,E,D,16747.0,175.0,240.0,248.0,3.104,6.104
10,MAINT,B,D,D,16922.0,90.0,,,,
10,FLIGHT,F213,D,G,18117.0,114.0,240.0,420.0,2.153,5.153
10,FERRY,FERRY,G,E,18231.0,60.0,,,,
10,FLIGHT,F221,E,K,19267.0,91.0,126.0,306.0,1.354,4.354
10,MAINT,A,K,K,19358.0,45.0,,,,
10,FLIGHT,F228,K,E,19557.0,86.0,240.0,215.0,1.153,4.153
10,FERRY,FERRY,E,A,19643.0,60.0,,,,
10,MAINT,B,A,A,19703.0,90.0,,,,
10,FLIGHT,F249,A,D,21281.0,155.0,240.0,420.0,-0.044,2.956
11,MAINT,D,G,G,0.0,420.0,,,,
11,FLIGHT,F16,G,C,1123.0,172.0,240.0,420.0,3.512,6.512
11,FERRY,FERRY,C,L,1295.0,60.0,,,,
11,MAINT,A,L,L,1355.0,45.0,,,,
11,FLIGHT,F26,L,E,2324.0,104.0,240.0,248.0,2.678,5.678
11,FLIGHT,F37,E,L,3448.0,105.0,136.0,144.0,1.897,4.897
11,MAINT,B,L,L,3553.0,90.0,,,,
