AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
0,FERRY,FERRY,H,D,0.0,60.0,,,,
0,MAINT,C,D,D,60.0,240.0,,,,
0,FLIGHT,F5,D,J,627.0,170.0,240.0,420.0,3.773,1.565
0,MAINT,A,J,J,797.0,45.0,,,,
0,FLIGHT,F31,J,F,4901.0,177.0,240.0,250.0,0.805,-1.403
0,MAINT,D,F,F,5078.0,420.0,,,,
0,FLIGHT,F40,F,J,6656.0,81.0,240.0,420.0,3.196,6.196
0,FERRY,FERRY,J,C,6737.0,60.0,,,,
0,FLIGHT,F48,C,I,8120.0,126.0,159.0,339.0,2.179,5.179
0,MAINT,A,I,I,8246.0,45.0,,,,
0,FLIGHT,F59,I,H,9217.0,163.0,240.0,213.0,1.417,4.417
0,MAINT,B,H,H,9380.0,90.0,,,,
0,FLIGHT,F62,H,G,9724.0,92.0,240.0,420.0,1.065,4.065
0,FLIGHT,F71,G,C,11006.0,136.0,148.0,328.0,0.175,3.175
0,FERRY,FERRY,C,A,11142.0,60.0,,,,
0,MAINT,A,A,A,11202.0,45.0,,,,
0,FLIGHT,F82,A,B,11993.0,125.0,240.0,192.0,-0.51,2.49
0,FERRY,FERRY,B,F,12118.0,60.0,,,,
0,MAINT,C,F,F,12178.0,240.0,,,,
0,FLIGHT,F101,F,A,13982.0,136.0,240.0,420.0,2.914,1.108
0,FERRY,FERRY,A,C,14118.0,60.0,,,,
0,MAINT,A,C,C,14178.0,45.0,,,,
0,FLIGHT,F123,C,D,16925.0,159.0,240.0,284.0,0.87,-0.935
1,FERRY,FERRY,J,E,0.0,60.0,,,,
1,MAINT,B,E,E,60.0,90.0,,,,
1,FLIGHT,F7,E,G,712.0,178.0,240.0,420.0,0.506,0.506
1,MAINT,A,G,G,890.0,45.0,,,,
1,FLIGHT,F30,G,F,4891.0,130.0,240.0,242.0,-2.397,-2.397
1,MAINT,D,F,F,5021.0,420.0,,,,
1,FLIGHT,F37,F,G,6409.0,143.0,240.0,420.0,3.328,6.328
1,FERRY,FERRY,G,C,6552.0,60.0,,,,
1,FLIGHT,F49,C,E,8199.0,75.0,97.0,277.0,2.085,5.085
1,FERRY,FERRY,E,A,8274.0,60.0,,,,
1,MAINT,A,A,A,8334.0,45.0,,,,
1,FLIGHT,F66,A,B,10775.0,93.0,240.0,202.0,0.296,3.296
1,FERRY,FERRY,B,I,10868.0,60.0,,,,
1,MAINT,B,I,I,10928.0,90.0,,,,
1,FLIGHT,F94,I,D,13727.0,166.0,240.0,420.0,-1.754,1.246
1,FERRY,FERRY,D,B,13893.0,60.0,,,,
1,MAINT,C,B,B,13953.0,240.0,,,,
1,FLIGHT,F112,B,G,15086.0,65.0,240.0,420.0,3.38,0.302
1,FLIGHT,F132,G,B,18432.0,149.0,175.0,355.0,1.056,-2.022
2,FERRY,FERRY,C,G,0.0,60.0,,,,
2,MAINT,C,G,G,60.0,240.0,,,,
2,FLIGHT,F6,G,H,683.0,84.0,240.0,420.0,3.734,1.526
2,FLIGHT,F28,H,C,4721.0,105.0,156.0,336.0,0.93,-1.278
2,FERRY,FERRY,C,B,4826.0,60.0,,,,
2,MAINT,D,B,B,4886.0,420.0,,,,
2,FLIGHT,F36,B,D,6182.0,96.0,240.0,420.0,3.392,6.392
2,FLIGHT,F55,D,J,9041.0,76.0,144.0,324.0,1.406,4.406
2,FERRY,FERRY,J,A,9117.0,60.0,,,,
2,MAINT,A,A,A,9177.0,45.0,,,,
2,FLIGHT,F65,A,G,10750.0,142.0,240.0,248.0,0.219,3.219
2,FERRY,FERRY,G,D,10892.0,60.0,,,,
2,MAINT,B,D,D,10952.0,90.0,,,,
2,FLIGHT,F83,D,B,12040.0,126.0,240.0,420.0,-0.676,2.324
2,MAINT,C,B,B,12166.0,240.0,,,,
2,FLIGHT,F102,B,J,14015.0,121.0,240.0,420.0,2.883,0.952
2,FERRY,FERRY,J,B,14136.0,60.0,,,,
2,FLIGHT,F114,B,D,15351.0,101.0,119.0,299.0,1.955,0.024
3,MAINT,C,E,E,0.0,240.0,,,,
3,FLIGHT,F3,E,C,517.0,157.0,240.0,420.0,3.808,1.641
3,FERRY,FERRY,C,A,674.0,60.0,,,,
3,MAINT,A,A,A,734.0,45.0,,,,
3,FLIGHT,F17,A,G,2435.0,98.0,240.0,263.0,2.476,0.309
