AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
2,FLIGHT,F379,B,I,28427.0,77.0,118.0,298.0,2.938,5.938
3,MAINT,D,H,H,0.0,420.0,,,,
3,FLIGHT,F7,H,L,516.0,168.0,240.0,420.0,3.933,6.933
3,MAINT,A,L,L,684.0,45.0,,,,
3,FLIGHT,F15,L,G,811.0,87.0,240.0,252.0,3.728,6.728
3,FLIGHT,F39,G,L,3241.0,144.0,153.0,165.0,2.041,5.041
3,MAINT,B,L,L,3385.0,90.0,,,,
3,FLIGHT,F49,L,D,3516.0,130.0,240.0,420.0,1.85,4.85
3,FLIGHT,F55,D,F,3674.0,79.0,110.0,290.0,1.74,4.74
3,FERRY,FERRY,F,D,3753.0,60.0,,,,
3,MAINT,A,D,D,3813.0,45.0,,,,
3,FLIGHT,F62,D,A,3913.0,158.0,240.0,211.0,1.574,4.574
3,FERRY,FERRY,A,B,4071.0,60.0,,,,
3,MAINT,B,B,B,4131.0,90.0,,,,
3,FLIGHT,F104,B,F,6838.0,136.0,240.0,420.0,-0.457,2.543
3,FERRY,FERRY,F,L,6974.0,60.0,,,,
3,MAINT,C,L,L,7034.0,240.0,,,,
3,FLIGHT,F141,L,H,9719.0,134.0,240.0,420.0,2.302,0.542
3,FERRY,FERRY,H,K,9853.0,60.0,,,,
3,MAINT,A,K,K,9913.0,45.0,,,,
3,FLIGHT,F187,K,H,13678.0,168.0,240.0,286.0,-0.447,-2.207
3,MAINT,D,H,H,13846.0,420.0,,,,
3,FLIGHT,F227,H,C,16638.0,83.0,240.0,420.0,2.353,5.353
3,FLIGHT,F233,C,A,16721.0,108.0,157.0,337.0,2.295,5.295
3,MAINT,A,A,A,16829.0,45.0,,,,
3,FLIGHT,F246,A,F,18050.0,102.0,240.0,229.0,1.372,4.372
3,FLIGHT,F251,F,L,18290.0,71.0,138.0,127.0,1.206,4.206
3,MAINT,B,L,L,18361.0,90.0,,,,
3,FLIGHT,F259,L,J,19140.0,69.0,240.0,420.0,0.615,3.615
3,FERRY,FERRY,J,D,19209.0,60.0,,,,
3,FLIGHT,F263,D,C,19345.0,105.0,171.0,351.0,0.473,3.473
3,MAINT,A,C,C,19450.0,45.0,,,,
3,FLIGHT,F280,C,B,20872.0,166.0,240.0,246.0,-0.587,2.413
3,MAINT,C,B,B,21038.0,240.0,,,,
3,FLIGHT,F287,B,L,21353.0,67.0,240.0,420.0,3.948,2.078
3,FERRY,FERRY,L,D,21420.0,60.0,,,,
3,FLIGHT,F300,D,A,22679.0,102.0,173.0,353.0,3.027,1.158
3,FERRY,FERRY,A,L,22781.0,60.0,,,,
3,MAINT,A,L,L,22841.0,45.0,,,,
3,FLIGHT,F332,L,D,25126.0,135.0,240.0,251.0,1.328,-0.542
3,MAINT,D,D,D,25261.0,420.0,,,,
3,FLIGHT,F358,D,F,26924.0,83.0,240.0,420.0,3.137,6.137
3,FLIGHT,F361,F,L,27096.0,91.0,157.0,337.0,3.017,6.017
3,FERRY,FERRY,L,A,27187.0,60.0,,,,
3,MAINT,A,A,A,27247.0,45.0,,,,
3,FLIGHT,F391,A,D,29806.0,74.0,240.0,246.0,1.135,4.135
3,FLIGHT,F395,D,B,29950.0,141.0,166.0,172.0,1.035,4.035
4,MAINT,B,A,A,0.0,90.0,,,,
4,FLIGHT,F6,A,B,484.0,179.0,240.0,420.0,0.664,0.664
4,MAINT,A,B,B,663.0,45.0,,,,
4,FLIGHT,F21,B,D,1138.0,178.0,240.0,241.0,0.21,0.21
4,FERRY,FERRY,D,G,1316.0,60.0,,,,
4,MAINT,B,G,G,1376.0,90.0,,,,
4,FLIGHT,F48,G,H,3429.0,153.0,240.0,420.0,-1.381,-1.381
4,MAINT,D,H,H,3582.0,420.0,,,,
4,FLIGHT,F90,H,L,6365.0,90.0,240.0,420.0,2.359,5.359
4,MAINT,A,L,L,6455.0,45.0,,,,
4,FLIGHT,F97,L,B,6707.0,161.0,240.0,330.0,2.122,5.122
4,FERRY,FERRY,B,J,6868.0,60.0,,,,
4,FLIGHT,F109,J,F,7733.0,78.0,79.0,169.0,1.409,4.409
4,MAINT,B,F,F,7811.0,90.0,,,,
4,FLIGHT,F138,F,H,9592.0,148.0,240.0,420.0,0.118,3.118
4,MAINT,A,H,H,9740.0,45.0,,,,
4,FLIGHT,F153,H,F,10714.0,105.0,240.0,272.0,-0.661,2.339
4,MAINT,C,F,F,10819.0,240.0,,,,
4,FLIGHT,F160,F,L,11093.0,102.0,240.0,420.0,3.976,2.076
4,FERRY,FERRY,L,B,11195.0,60.0,,,,
4,MAINT,A,B,B,11255.0,45.0,,,,
4,FLIGHT,F170,B,E,12250.0,153.0,240.0,318.0,3.173,1.272
4,FERRY,FERRY,E,C,12403.0,60.0,,,,
4,FLIGHT,F201,C,K,14097.0,75.0,87.0,165.0,1.89,-0.01
4,MAINT,D,K,K,14172.0,420.0,,,,
4,FLIGHT,F218,K,A,15542.0,140.0,240.0,420.0,3.34,6.34
4,FERRY,FERRY,A,D,15682.0,60.0,,,,
4,FLIGHT,F253,D,G,18328.0,87.0,100.0,280.0,1.406,4.406
4,FERRY,FERRY,G,B,18415.0,60.0,,,,
4,MAINT,A,B,B,18475.0,45.0,,,,
4,FLIGHT,F290,B,A,22330.0,139.0,240.0,193.0,-1.374,1.626
4,MAINT,C,A,A,22469.0,240.0,,,,
4,FLIGHT,F314,A,J,23781.0,74.0,240.0,420.0,3.256,0.619
4,FLIGHT,F315,J,D,23881.0,70.0,166.0,346.0,3.186,0.549
4,MAINT,A,D,D,23951.0,45.0,,,,
4,FLIGHT,F327,D,K,24963.0,144.0,240.0,276.0,2.435,-0.202
4,MAINT,D,K,K,25107.0,420.0,,,,
4,FLIGHT,F339,K,I,25603.0,89.0,240.0,420.0,3.947,6.947
4,FLIGHT,F343,I,E,26378.0,80.0,151.0,331.0,3.409,6.409
4,FERRY,FERRY,E,J,26458.0,60.0,,,,
4,MAINT,A,J,J,26518.0,45.0,,,,
4,FLIGHT,F351,J,F,26683.0,76.0,240.0,251.0,3.197,6.197
4,FLIGHT,F355,F,C,26864.0,125.0,164.0,175.0,3.072,6.072
4,MAINT,B,C,C,26989.0,90.0,,,,
4,FLIGHT,F374,C,J,28249.0,119.0,240.0,420.0,2.11,5.11
4,MAINT,A,J,J,28368.0,45.0,,,,
4,FLIGHT,F381,J,G,28461.0,144.0,240.0,301.0,1.962,4.962
4,MAINT,A,G,G,28605.0,45.0,,,,
4,FLIGHT,F398,G,I,29994.0,148.0,240.0,157.0,0.898,3.898
