Dataset : data/phase1_25_forced\I34_density=0.95_p=12_h=14.json
Mode    : heuristic
Flights : 160/160 assigned  (0 unassigned)
Cost    : 594262
CPU     : 1.3s

  AID    Flt   Busy(min)   Free(min)
    0     14        3584       16423
    1     14        3916       16091
    2     12        3216       16791
    3     11        3155       16852
    4     14        3825       16182
    5     17        4074       15933
    6     12        3356       16651
    7     14        3689       16318
    8     10        3036       16971
    9     15        3734       16273
   10     14        3984       16023
   11     13        3449       16558
