Dataset : data/phase1_25_forced\I45_density=1_p=16_h=18.json
Mode    : heuristic
Flights : 288/288 assigned  (0 unassigned)
Cost    : 900073
CPU     : 2.2s

  AID    Flt   Busy(min)   Free(min)
    0     21        4788       20837
    1     22        5171       20454
    2     17        4247       21378
    3     17        4377       21248
    4     21        5033       20592
    5     17        4443       21182
    6     16        4338       21287
    7     24        6320       19305
    8     14        4214       21411
    9     20        5228       20397
   10     16        4140       21485
   11     21        5642       19983
   12     18        4608       21017
   13     15        3966       21659
   14     13        4013       21612
   15     16        4099       21526
