AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
0,FERRY,FERRY,C,A,0.0,60.0,,,,
0,MAINT,D,A,A,60.0,420.0,,,,
0,FLIGHT,F3,A,B,1068.0,63.0,240.0,420.0,1.592,3.592
0,FLIGHT,F21,B,C,5344.0,64.0,177.0,357.0,-1.378,0.622
0,MAINT,C,C,C,5408.0,240.0,,,,
0,FLIGHT,F22,C,B,6153.0,144.0,240.0,420.0,1.649,0.06
0,FERRY,FERRY,B,D,6297.0,60.0,,,,
0,MAINT,D,D,D,6357.0,420.0,,,,
0,FLIGHT,F26,D,A,7700.0,156.0,240.0,420.0,1.359,3.359
0,FERRY,FERRY,A,F,7856.0,60.0,,,,
0,FLIGHT,F34,F,E,9630.0,71.0,84.0,264.0,0.019,2.019
1,MAINT,D,B,B,0.0,420.0,,,,
1,FLIGHT,F2,B,F,605.0,80.0,240.0,420.0,1.872,3.872
1,FERRY,FERRY,F,E,685.0,60.0,,,,
1,FLIGHT,F13,E,G,3817.0,112.0,160.0,340.0,-0.359,1.641
1,FERRY,FERRY,G,F,3929.0,60.0,,,,
1,MAINT,C,F,F,3989.0,240.0,,,,
1,FLIGHT,F24,F,B,6861.0,133.0,240.0,420.0,0.172,-0.473
1,FERRY,FERRY,B,H,6994.0,60.0,,,,
1,MAINT,D,H,H,7054.0,420.0,,,,
1,FLIGHT,F32,H,F,9279.0,100.0,240.0,420.0,0.747,2.747
2,MAINT,D,E,E,0.0,420.0,,,,
2,FLIGHT,F9,E,G,3334.0,83.0,240.0,420.0,-0.024,1.976
2,FERRY,FERRY,G,A,3417.0,60.0,,,,
2,MAINT,C,A,A,3477.0,240.0,,,,
2,FLIGHT,F14,A,H,3865.0,67.0,240.0,420.0,1.897,1.608
2,FERRY,FERRY,H,C,3932.0,60.0,,,,
2,FLIGHT,F23,C,F,6316.0,82.0,173.0,353.0,0.195,-0.094
2,MAINT,D,F,F,6398.0,420.0,,,,
2,FLIGHT,F25,F,B,7697.0,93.0,240.0,420.0,1.39,3.39
2,FLIGHT,F33,B,A,9313.0,99.0,147.0,327.0,0.267,2.267
3,MAINT,D,B,B,0.0,420.0,,,,
3,FLIGHT,F12,B,F,3515.0,105.0,240.0,420.0,-0.149,1.851
3,FERRY,FERRY,F,H,3620.0,60.0,,,,
3,MAINT,C,H,H,3680.0,240.0,,,,
3,FLIGHT,F15,H,C,3986.0,170.0,240.0,420.0,1.954,1.524
3,FLIGHT,F20,C,B,5292.0,61.0,70.0,250.0,1.047,0.617
3,FERRY,FERRY,B,D,5353.0,60.0,,,,
3,MAINT,A,D,D,5413.0,45.0,,,,
3,FLIGHT,F30,D,B,9142.0,129.0,240.0,189.0,-1.626,-2.057
4,FERRY,FERRY,E,D,0.0,60.0,,,,
4,MAINT,B,D,D,60.0,90.0,,,,
4,FLIGHT,F6,D,C,2359.0,120.0,240.0,420.0,0.362,-0.638
4,MAINT,D,C,C,2479.0,420.0,,,,
4,FLIGHT,F19,C,B,5251.0,176.0,240.0,420.0,0.367,2.367
4,FERRY,FERRY,B,D,5427.0,60.0,,,,
4,MAINT,A,D,D,5487.0,45.0,,,,
4,FLIGHT,F27,D,B,7728.0,154.0,240.0,244.0,-1.353,0.647
4,FERRY,FERRY,B,H,7882.0,60.0,,,,
4,MAINT,C,H,H,7942.0,240.0,,,,
4,FLIGHT,F36,H,A,9742.0,79.0,240.0,420.0,0.917,-0.752
5,MAINT,C,B,B,0.0,240.0,,,,
5,FLIGHT,F5,B,A,2275.0,105.0,240.0,420.0,0.587,-0.58
5,MAINT,D,A,A,2380.0,420.0,,,,
5,FLIGHT,F10,A,G,3408.0,96.0,240.0,420.0,1.578,3.578
5,FERRY,FERRY,G,E,3504.0,60.0,,,,
5,FLIGHT,F16,E,H,4737.0,78.0,144.0,324.0,0.655,2.655
