AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
16,FLIGHT,F292,G,J,26850.0,129.0,240.0,420.0,2.058,5.058
16,FERRY,FERRY,J,I,26979.0,60.0,,,,
16,FLIGHT,F300,I,J,27799.0,84.0,111.0,291.0,1.399,4.399
17,MAINT,A,I,I,0.0,45.0,,,,
17,FLIGHT,F5,I,D,642.0,78.0,240.0,117.0,1.554,0.554
17,MAINT,B,D,D,720.0,90.0,,,,
17,FLIGHT,F21,D,F,2233.0,177.0,240.0,420.0,0.449,-0.551
17,MAINT,D,F,F,2410.0,420.0,,,,
17,FLIGHT,F34,F,K,3708.0,67.0,240.0,420.0,3.39,6.39
17,MAINT,A,K,K,3775.0,45.0,,,,
17,FLIGHT,F37,K,F,3826.0,179.0,240.0,353.0,3.308,6.308
17,FERRY,FERRY,F,G,4005.0,60.0,,,,
17,MAINT,A,G,G,4065.0,45.0,,,,
17,FLIGHT,F52,G,D,5064.0,168.0,240.0,174.0,2.449,5.449
17,FERRY,FERRY,D,E,5232.0,60.0,,,,
17,MAINT,B,E,E,5292.0,90.0,,,,
17,FLIGHT,F112,E,J,10878.0,68.0,240.0,420.0,-1.589,1.411
17,FERRY,FERRY,J,A,10946.0,60.0,,,,
17,MAINT,C,A,A,11006.0,240.0,,,,
17,FLIGHT,F148,A,G,15019.0,74.0,240.0,420.0,1.38,-1.465
17,FERRY,FERRY,G,E,15093.0,60.0,,,,
17,MAINT,D,E,E,15153.0,420.0,,,,
17,FLIGHT,F185,E,A,18419.0,166.0,240.0,420.0,2.024,5.024
17,FLIGHT,F213,A,E,21053.0,72.0,74.0,254.0,0.194,3.194
17,MAINT,A,E,E,21125.0,45.0,,,,
17,FLIGHT,F219,E,K,21276.0,144.0,240.0,182.0,0.04,3.04
17,MAINT,C,K,K,21420.0,240.0,,,,
17,FLIGHT,F226,K,G,22194.0,72.0,240.0,420.0,3.629,2.402
17,FLIGHT,F233,G,A,22547.0,64.0,168.0,348.0,3.384,2.157
17,FLIGHT,F261,A,K,25024.0,93.0,104.0,284.0,1.664,0.437
17,FERRY,FERRY,K,I,25117.0,60.0,,,,
17,MAINT,A,I,I,25177.0,45.0,,,,
17,FLIGHT,F277,I,K,25609.0,93.0,240.0,191.0,1.258,0.031
17,MAINT,D,K,K,25702.0,420.0,,,,
17,FLIGHT,F284,K,E,26518.0,142.0,240.0,420.0,3.725,6.725
17,FERRY,FERRY,E,I,26660.0,60.0,,,,
17,MAINT,A,I,I,26720.0,45.0,,,,
17,FLIGHT,F323,I,G,29345.0,123.0,240.0,278.0,1.762,4.762
18,MAINT,B,F,F,0.0,90.0,,,,
18,FLIGHT,F23,F,I,2278.0,110.0,240.0,420.0,-0.582,-0.582
18,MAINT,D,I,I,2388.0,420.0,,,,
18,FLIGHT,F29,I,J,3448.0,99.0,240.0,420.0,3.556,6.556
18,FERRY,FERRY,J,E,3547.0,60.0,,,,
18,MAINT,A,E,E,3607.0,45.0,,,,
18,FLIGHT,F44,E,C,4797.0,168.0,240.0,321.0,2.619,5.619
18,MAINT,A,C,C,4965.0,45.0,,,,
18,FLIGHT,F57,C,H,5433.0,147.0,240.0,153.0,2.177,5.177
18,MAINT,B,H,H,5580.0,90.0,,,,
18,FLIGHT,F78,H,L,7816.0,144.0,240.0,420.0,0.522,3.522
18,MAINT,A,L,L,7960.0,45.0,,,,
18,FLIGHT,F92,L,C,8331.0,170.0,240.0,276.0,0.165,3.165
18,MAINT,A,C,C,8501.0,45.0,,,,
18,FLIGHT,F107,C,J,10460.0,91.0,240.0,106.0,-1.314,1.686
18,MAINT,C,J,J,10551.0,240.0,,,,
18,FLIGHT,F122,J,D,12135.0,69.0,240.0,420.0,3.067,0.523
18,FERRY,FERRY,D,K,12204.0,60.0,,,,
18,FLIGHT,F126,K,H,12339.0,136.0,171.0,351.0,2.925,0.381
18,FERRY,FERRY,H,E,12475.0,60.0,,,,
18,MAINT,A,E,E,12535.0,45.0,,,,
18,FLIGHT,F168,E,J,16656.0,72.0,240.0,215.0,-0.073,-2.617
18,MAINT,D,J,J,16728.0,420.0,,,,
18,FLIGHT,F175,J,A,17983.0,175.0,240.0,420.0,3.42,6.42
18,MAINT,A,A,A,18158.0,45.0,,,,
18,FLIGHT,F210,A,K,20960.0,127.0,240.0,245.0,1.353,4.353
18,MAINT,B,K,K,21087.0,90.0,,,,
18,FLIGHT,F223,K,C,22037.0,141.0,240.0,420.0,0.605,3.605
18,FLIGHT,F237,C,H,22657.0,94.0,99.0,279.0,0.174,3.174
18,MAINT,A,H,H,22751.0,45.0,,,,
18,FLIGHT,F240,H,F,23463.0,94.0,240.0,185.0,-0.385,2.615
18,FERRY,FERRY,F,H,23557.0,60.0,,,,
18,MAINT,C,H,H,23617.0,240.0,,,,
18,FLIGHT,F252,H,C,23935.0,97.0,240.0,420.0,3.946,2.287
18,FLIGHT,F264,C,D,25115.0,75.0,143.0,323.0,3.126,1.467
18,FERRY,FERRY,D,G,25190.0,60.0,,,,
18,MAINT,A,G,G,25250.0,45.0,,,,
18,FLIGHT,F294,G,A,26908.0,107.0,240.0,248.0,1.881,0.222
19,MAINT,B,C,C,0.0,90.0,,,,
19,FLIGHT,F4,C,J,572.0,171.0,240.0,420.0,0.603,1.603
19,FERRY,FERRY,J,H,743.0,60.0,,,,
19,MAINT,A,H,H,803.0,45.0,,,,
19,FLIGHT,F43,H,F,4701.0,179.0,240.0,249.0,-2.265,-1.265
19,MAINT,D,F,F,4880.0,420.0,,,,
19,FLIGHT,F73,F,B,7575.0,113.0,240.0,420.0,2.42,5.42
19,FLIGHT,F100,B,G,9433.0,119.0,127.0,307.0,1.13,4.13
19,FERRY,FERRY,G,B,9552.0,60.0,,,,
19,MAINT,A,B,B,9612.0,45.0,,,,
19,FLIGHT,F105,B,C,9764.0,124.0,240.0,188.0,0.9,3.9
19,MAINT,B,C,C,9888.0,90.0,,,,
19,FLIGHT,F118,C,L,12048.0,133.0,240.0,420.0,-0.686,2.314
19,MAINT,C,L,L,12181.0,240.0,,,,
19,FLIGHT,F129,L,H,12628.0,142.0,240.0,420.0,3.856,1.911
19,FERRY,FERRY,H,E,12770.0,60.0,,,,
19,MAINT,A,E,E,12830.0,45.0,,,,
19,FLIGHT,F158,E,K,15512.0,179.0,240.0,278.0,1.853,-0.092
