AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
7,FLIGHT,F57,B,C,6534.0,151.0,159.0,339.0,2.475,5.475
7,FERRY,FERRY,C,I,6685.0,60.0,,,,
7,MAINT,A,I,I,6745.0,45.0,,,,
7,FLIGHT,F68,I,E,7581.0,75.0,240.0,188.0,1.748,4.748
7,FERRY,FERRY,E,C,7656.0,60.0,,,,
7,FLIGHT,F86,C,F,9747.0,61.0,165.0,113.0,0.244,3.244
7,MAINT,B,F,F,9808.0,90.0,,,,
7,FLIGHT,F91,F,D,10861.0,66.0,240.0,420.0,-0.53,2.47
7,MAINT,C,D,D,10927.0,240.0,,,,
7,FLIGHT,F111,D,B,12703.0,167.0,240.0,420.0,2.933,1.191
7,MAINT,A,B,B,12870.0,45.0,,,,
7,FLIGHT,F114,B,E,13807.0,95.0,240.0,253.0,2.167,0.424
7,FERRY,FERRY,E,A,13902.0,60.0,,,,
7,FLIGHT,F120,A,E,14843.0,65.0,145.0,158.0,1.447,-0.295
7,MAINT,D,E,E,14908.0,420.0,,,,
7,FLIGHT,F131,E,C,15333.0,158.0,240.0,420.0,3.997,6.997
7,MAINT,A,C,C,15491.0,45.0,,,,
7,FLIGHT,F144,C,G,16610.0,144.0,240.0,262.0,3.11,6.11
7,MAINT,B,G,G,16754.0,90.0,,,,
7,FLIGHT,F151,G,J,16934.0,168.0,240.0,420.0,2.885,5.885
7,FERRY,FERRY,J,D,17102.0,60.0,,,,
7,MAINT,A,D,D,17162.0,45.0,,,,
7,FLIGHT,F155,D,F,17859.0,152.0,240.0,252.0,2.242,5.242
8,MAINT,B,D,D,0.0,90.0,,,,
8,FLIGHT,F1,D,E,453.0,116.0,240.0,420.0,0.685,1.685
8,FERRY,FERRY,E,H,569.0,60.0,,,,
8,MAINT,A,H,H,629.0,45.0,,,,
8,FLIGHT,F19,H,E,2451.0,161.0,240.0,304.0,-0.702,0.298
8,FERRY,FERRY,E,A,2612.0,60.0,,,,
8,MAINT,C,A,A,2672.0,240.0,,,,
8,FLIGHT,F37,A,J,4065.0,83.0,240.0,420.0,3.199,-0.823
8,FERRY,FERRY,J,E,4148.0,60.0,,,,
8,MAINT,D,E,E,4208.0,420.0,,,,
8,FLIGHT,F62,E,G,6831.0,177.0,240.0,420.0,2.47,5.47
8,MAINT,A,G,G,7008.0,45.0,,,,
8,FLIGHT,F76,G,B,8098.0,105.0,240.0,243.0,1.59,4.59
8,FLIGHT,F87,B,E,10513.0,104.0,135.0,138.0,-0.087,2.913
