Dataset : data/phase1_25_forced\I42_density=0.65_p=16_h=18.json
Mode    : heuristic
Flights : 187/187 assigned  (0 unassigned)
Cost    : 658318
CPU     : 1.6s

  AID    Flt   Busy(min)   Free(min)
    0     13        3871       21916
    1     12        3117       22670
    2     16        4413       21374
    3     13        3894       21893
    4     11        3234       22553
    5     11        3053       22734
    6     11        2972       22815
    7     10        2834       22953
    8      8        2799       22988
    9     14        3991       21796
   10     14        3642       22145
   11     12        3291       22496
   12     12        3290       22497
   13     11        3173       22614
   14      7        2640       23147
   15     12        3618       22169
