Dataset : data/phase1_25_forced\I51_density=0.5_p=20_h=21.json
Mode    : heuristic
Flights : 210/210 assigned  (0 unassigned)
Cost    : 596275
CPU     : 1.7s

  AID    Flt   Busy(min)   Free(min)
    0     13        3789       26195
    1     11        3170       26814
    2      6        2054       27930
    3      7        2241       27743
    4     14        3783       26201
    5     14        3847       26137
    6     13        3842       26142
    7      9        2852       27132
    8     10        3214       26770
    9     12        3600       26384
   10     10        3200       26784
   11      8        2705       27279
   12      8        2535       27449
   13     12        3592       26392
   14     12        3485       26499
   15     12        3695       26289
   16     11        3336       26648
   17     13        3495       26489
   18      8        3298       26686
   19      7        2163       27821
