Dataset : data/phase1_25_forced\I54_density=0.95_p=20_h=21.json
Mode    : heuristic
Flights : 399/399 assigned  (0 unassigned)
Cost    : 1257872
CPU     : 3.1s

  AID    Flt   Busy(min)   Free(min)
    0     19        4890       25268
    1     19        5029       25129
    2     18        5225       24933
    3     23        5406       24752
    4     24        5782       24376
    5     19        4659       25499
    6     17        4366       25792
    7     22        5565       24593
    8     26        6719       23439
    9     20        5283       24875
   10     14        4594       25564
   11     20        5279       24879
   12     18        5034       25124
   13     21        5822       24336
   14     17        4720       25438
   15     25        6129       24029
   16     22        5584       24574
   17     17        4689       25469
   18     22        4993       25165
   19     16        4767       25391
