Dataset : data/phase1_25_forced\I44_density=0.95_p=16_h=18.json
Mode    : heuristic
Flights : 274/274 assigned  (0 unassigned)
Cost    : 877252
CPU     : 2.1s

  AID    Flt   Busy(min)   Free(min)
    0     21        5209       20635
    1     18        4554       21290
    2     18        4996       20848
    3     19        4948       20896
    4     12        3291       22553
    5     18        4503       21341
    6     16        4647       21197
    7     16        4191       21653
    8     19        4588       21256
    9     23        5677       20167
   10     12        3964       21880
   11     14        3967       21877
   12     15        4022       21822
   13     15        4327       21517
   14     17        4631       21213
   15     21        5094       20750
