Dataset : data/phase1_25_forced\I41_density=0.5_p=16_h=18.json
Mode    : heuristic
Flights : 144/144 assigned  (0 unassigned)
Cost    : 495609
CPU     : 1.2s

  AID    Flt   Busy(min)   Free(min)
    0      7        2488       23288
    1     11        2951       22825
    2     11        2877       22899
    3     13        3540       22236
    4      7        2635       23141
    5     12        3182       22594
    6     12        3182       22594
    7      7        2948       22828
    8      7        2340       23436
    9      9        2736       23040
   10      7        2575       23201
   11      9        2883       22893
   12      9        3410       22366
   13      6        2811       22965
   14      9        2842       22934
   15      8        2513       23263
