Dataset : data/phase1_25_forced\I53_density=0.8_p=20_h=21.json
Mode    : heuristic
Flights : 336/336 assigned  (0 unassigned)
Cost    : 923798
CPU     : 2.6s

  AID    Flt   Busy(min)   Free(min)
    0     18        4757       25326
    1     14        3630       26453
    2     10        3210       26873
    3     19        4952       25131
    4     18        4564       25519
    5     20        5172       24911
    6     17        4246       25837
    7     17        4658       25425
    8     15        4772       25311
    9     12        3732       26351
   10     21        5219       24864
   11     19        4824       25259
   12     18        4729       25354
   13     15        4546       25537
   14     14        4431       25652
   15     21        5473       24610
   16     18        4782       25301
   17     16        4330       25753
   18     18        4366       25717
   19     16        4550       25533
