Dataset : data/phase1_25_forced\I15_density=1_p=8_h=7.json
Mode    : heuristic
Flights : 55/56 assigned  (1 unassigned)
Cost    : 196808
CPU     : 0.6s

  AID    Flt   Busy(min)   Free(min)
    0      7        2025        7760
    1      6        2094        7691
    2      7        2391        7394
    3      7        1799        7986
    4      7        2144        7641
    5      6        1748        8037
    6      7        2019        7766
    7      8        2123        7662
