instance,H,P,F,formulation,status,objective,vars,constraints,cpu_s,build_s,wall_s,peak_rss_mb,error,overlap_mode,tight_state_big_m
data\feasible_instances\DataCplex_density=1_p=10_h=7_test_0.json,7,10,50,ordered_abcd,optimal,24935.0,2500,12513,0.5385000705718994,0.228073,1.077003,130.629,,pairwise,False
data\feasible_instances\DataCplex_density=1_p=10_h=15_test_0.json,15,10,60,ordered_abcd,optimal,29914.0,3000,13437,0.6353883743286133,0.311757,1.178936,137.164,,pairwise,False
data\feasible_instances\DataCplex_density=1_p=10_h=21_test_0.json,21,10,60,ordered_abcd,optimal,29886.0,3000,13437,0.6403903961181641,0.320259,1.188401,137.441,,pairwise,False
data\feasible_instances\DataCplex_density=1_p=10_h=30_test_0.json,30,10,60,ordered_abcd,optimal,29875.0,3000,13437,0.6400458812713623,0.339553,1.180495,137.836,,pairwise,False
