instance,variant,variables,constraints,c9_rows,z_variables,build_s,solver,status,objective,runtime_s,error
DataCplex_density=0.65_p=8_h=14_test_5,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.20827,cplexamp,optimal,29926.07322483443,0.879684,
DataCplex_density=0.65_p=8_h=14_test_5,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.217969,cplexamp,optimal,29926.07322483443,0.816813,
DataCplex_density=0.65_p=8_h=14_test_6,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.217879,cplexamp,optimal,29993.07322483443,0.815719,
DataCplex_density=0.65_p=8_h=14_test_6,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.229131,cplexamp,optimal,29993.07322483443,0.816622,
DataCplex_density=0.65_p=8_h=14_test_7,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.26192,cplexamp,optimal,29955.07322483443,0.829583,
DataCplex_density=0.65_p=8_h=14_test_7,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.217862,cplexamp,optimal,29955.07322483443,0.823151,
DataCplex_density=0.65_p=8_h=14_test_8,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.224222,cplexamp,optimal,29967.07322483443,0.867562,
DataCplex_density=0.65_p=8_h=14_test_8,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.214897,cplexamp,optimal,29967.07322483443,0.859889,
DataCplex_density=0.65_p=8_h=14_test_9,sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.212271,cplexamp,optimal,29980.07322483443,0.818437,
DataCplex_density=0.65_p=8_h=14_test_9,strong_link+sparse_z+tight_c13_m+reachability+strong_conflicts,992,3045,256,256,0.210768,cplexamp,optimal,29980.07322483443,0.817758,
