stem,method,status,objective,score,flights,assigned,unassigned,gap_pct,wall_s,cpu_s,violations,solver,solver_attempt_order,num_vars,num_constraints,returncode
DataCplex_density=1_p=10_h=30_test_0,greedy_baseline,feasible,5033378.000000,21833378.000000,575,407,168,,14.727383,,168,,,,,0
DataCplex_density=1_p=10_h=30_test_0,dijkstra_heuristic,feasible,3165047.000000,36165047.000000,575,245,330,,55.146468,,330,,,,,0
DataCplex_density=1_p=10_h=30_test_0,aco_heuristic,feasible,316038.000000,54116038.000000,575,37,538,,354.597779,,538,,,,,0
DataCplex_density=1_p=10_h=30_test_0,bruteforce_exact,not_applicable,0.000000,57500000.000000,575,0,575,,0.000000,,575,,,,,0
DataCplex_density=1_p=10_h=30_test_0,milp_compact,error,0.000000,57500000.000000,575,0,575,nan,97.706679,62.086209,575,cplex,"cplex,cplex_direct,cplex_persistent,gurobi,glpk,cbc",,,0
DataCplex_density=1_p=10_h=30_test_0,dp_exact_small,not_applicable,0.000000,57500000.000000,575,0,575,,0.000000,,575,,,,,0
