instance,variant,variables,constraints,c9_rows,z_variables,build_s,solver,status,objective,runtime_s
DataCplex_density=0.5_p=4_h=7_test_0,baseline,984,1964,224,616,0.067196,cplex,unknown,0.0,0.258422
DataCplex_density=0.5_p=4_h=7_test_0,strong,984,1964,224,616,0.061587,cplex,unknown,0.0,0.12493
