stem,P,H,F,vars,constraints,nodes_max,gap_pct,cpu_s,objective,formulation,routing_scope,status,build_s,wall_s,solver,time_limit_s,peak_rss_mb,error
DataCplex_density=0.5_p=10_h=7_test_0,10,7,102,14860,43819,,,,,legacy_endpoint_split,legacy_day_indexed_routing,build_only,1.25936,,cplexamp,60,146.531,
DataCplex_density=0.5_p=10_h=7_test_0,10,7,102,11978,52119,,,,,event_exact_state,connected_event_arcs_no_ferry,build_only,1.473932,,cplexamp,60,168.684,
DataCplex_density=0.5_p=10_h=15_test_0,10,15,140,38230,95306,,,,,legacy_endpoint_split,legacy_day_indexed_routing,build_only,2.973004,,cplexamp,60,198.234,
DataCplex_density=0.5_p=10_h=15_test_0,10,15,140,18064,79832,,,,,event_exact_state,connected_event_arcs_no_ferry,build_only,2.442761,,cplexamp,60,202.211,
DataCplex_density=0.5_p=10_h=21_test_0,10,20,109,38630,82892,,,,,legacy_endpoint_split,legacy_day_indexed_routing,build_only,2.756366,,cplexamp,60,194.727,
DataCplex_density=0.5_p=10_h=21_test_0,10,20,109,13042,56425,,,,,event_exact_state,connected_event_arcs_no_ferry,build_only,1.766084,,cplexamp,60,174.605,
