instance,H,P,F,formulation,status,objective,vars,constraints,cpu_s,build_s,wall_s,peak_rss_mb,error,overlap_mode,tight_state_big_m,local_state_indexing,calendar_candidate_pruning
data\feasible_instances\DataCplex_density=1_p=10_h=7_test_0.json,7,10,50,ordered_abcd,optimal,24935.0,2500,11913,0.5379548072814941,0.233388,1.042861,132.531,,clique,True,True,False
data\feasible_instances\DataCplex_density=1_p=10_h=15_test_0.json,15,10,60,ordered_abcd,optimal,29914.0,3000,13157,0.5382590293884277,0.306597,1.069399,136.992,,clique,True,True,False
data\feasible_instances\DataCplex_density=1_p=10_h=21_test_0.json,21,10,60,ordered_abcd,optimal,29886.0,3000,13157,0.6399462223052979,0.353786,1.16388,136.547,,clique,True,True,False
data\feasible_instances\DataCplex_density=1_p=10_h=30_test_0.json,30,10,60,ordered_abcd,optimal,29875.0,3000,13157,0.5380213260650635,0.305859,1.071652,136.172,,clique,True,True,False
