case,file,P,H,F,formulation,status,objective,vars,constraints,cpu_s,wall_s,build_s,error
perf_p=20_h=50,perf_p=20_h=50.json,20,23,80,event_based,optimal,39254.0,4000,17598,0.5300874710083008,1.141357,0.455012,
perf_p=20_h=7,perf_p=20_h=7.json,20,8,70,legacy_paper_c13,optimal,34027.0,5900,13019,0.4330174922943115,1.025107,0.420386,
perf_p=20_h=7,perf_p=20_h=7.json,20,8,70,legacy_endpoint_split,optimal,34027.0,5900,13579,0.45613718032836914,1.061349,0.421575,
perf_p=20_h=7,perf_p=20_h=7.json,20,8,70,legacy_corrected,optimal,34027.0,6080,13139,0.42903614044189453,0.9555,0.320868,
perf_p=20_h=7,perf_p=20_h=7.json,20,8,70,event_based,optimal,34027.0,3500,19355,0.455888032913208,1.056443,0.356584,
perf_p=30_h=15,perf_p=30_h=15.json,30,16,112,legacy_paper_c13,optimal,54615.0,20910,36339,1.1436183452606201,2.862201,1.867858,
perf_p=30_h=15,perf_p=30_h=15.json,30,16,112,legacy_endpoint_split,optimal,54615.0,20910,39939,1.4676897525787354,3.295311,1.870254,
perf_p=30_h=15,perf_p=30_h=15.json,30,16,112,legacy_corrected,optimal,54615.0,21420,34719,0.8147785663604736,1.994574,1.257626,
perf_p=30_h=15,perf_p=30_h=15.json,30,16,112,event_based,optimal,54615.0,8400,42299,0.9285421371459961,2.0426,1.011898,
perf_p=30_h=30,perf_p=30_h=30.json,30,31,116,legacy_paper_c13,optimal,56748.0,35970,58018,2.3213906288146973,5.515661,4.13028,
perf_p=30_h=30,perf_p=30_h=30.json,30,31,116,legacy_endpoint_split,optimal,56748.0,35970,71968,4.6712610721588135,9.103464,4.24792,
perf_p=30_h=30,perf_p=30_h=30.json,30,31,116,legacy_corrected,optimal,56748.0,36930,47848,1.1402881145477295,2.826649,2.068747,
perf_p=30_h=30,perf_p=30_h=30.json,30,31,116,event_based,optimal,56748.0,8700,38332,0.9188954830169678,1.988849,1.086681,
perf_p=30_h=40,perf_p=30_h=40.json,30,33,120,legacy_paper_c13,optimal,58800.0,39960,64204,3.438645124435425,7.149376,4.455645,
perf_p=30_h=40,perf_p=30_h=40.json,30,33,120,legacy_endpoint_split,optimal,58800.0,39960,80044,5.2560038566589355,10.259838,5.019551,
perf_p=30_h=40,perf_p=30_h=40.json,30,33,120,legacy_corrected,optimal,58800.0,40980,52384,1.4390380382537842,3.295011,2.206909,
perf_p=30_h=40,perf_p=30_h=40.json,30,33,120,event_based,optimal,58800.0,9000,39598,1.0322866439819336,2.191849,1.274118,
perf_p=30_h=50,perf_p=30_h=50.json,30,33,120,legacy_paper_c13,optimal,58806.0,39960,64204,2.9367992877960205,6.479272,4.518912,
perf_p=30_h=50,perf_p=30_h=50.json,30,33,120,legacy_endpoint_split,optimal,58806.0,39960,80044,5.390081882476807,10.540673,4.888796,
perf_p=30_h=50,perf_p=30_h=50.json,30,33,120,legacy_corrected,optimal,58806.0,40980,52384,1.276353120803833,3.240285,2.117418,
perf_p=30_h=50,perf_p=30_h=50.json,30,33,120,event_based,optimal,58806.0,9000,39598,0.9498724937438965,2.073884,1.13935,
perf_p=30_h=7,perf_p=30_h=7.json,30,8,104,legacy_paper_c13,optimal,50564.0,12870,34613,0.7452027797698975,1.775043,1.061965,
perf_p=30_h=7,perf_p=30_h=7.json,30,8,104,legacy_endpoint_split,optimal,50564.0,12870,35453,0.7861814498901367,1.95402,1.012777,
perf_p=30_h=7,perf_p=30_h=7.json,30,8,104,legacy_corrected,optimal,50564.0,13140,34793,0.6620388031005859,1.625878,0.821427,
perf_p=30_h=7,perf_p=30_h=7.json,30,8,104,event_based,optimal,50564.0,7800,49773,0.8167965412139893,1.945774,0.931716,
perf_p=40_h=15,perf_p=40_h=15.json,40,16,152,legacy_paper_c13,optimal,74205.0,38680,72449,1.9333674907684326,4.672328,3.600586,
perf_p=40_h=15,perf_p=40_h=15.json,40,16,152,legacy_endpoint_split,optimal,74205.0,38680,77249,2.677398681640625,5.953668,3.548757,
perf_p=40_h=15,perf_p=40_h=15.json,40,16,152,legacy_corrected,optimal,74205.0,39360,70289,1.4368703365325928,3.569984,2.248072,
perf_p=40_h=15,perf_p=40_h=15.json,40,16,152,event_based,optimal,74205.0,15200,84773,2.073391914367676,3.995432,1.988692,
perf_p=40_h=30,perf_p=40_h=30.json,40,31,156,legacy_paper_c13,optimal,76353.0,70760,107388,4.816640853881836,10.359982,7.147788,
perf_p=40_h=30,perf_p=40_h=30.json,40,31,156,legacy_endpoint_split,optimal,76353.0,70760,125988,7.544964075088501,15.179217,7.654769,
perf_p=40_h=30,perf_p=40_h=30.json,40,31,156,legacy_corrected,optimal,76353.0,72040,93828,2.142735004425049,5.272859,3.879221,
perf_p=40_h=30,perf_p=40_h=30.json,40,31,156,event_based,optimal,76353.0,15600,73526,1.7359123229980469,3.577315,2.1475,
perf_p=40_h=40,perf_p=40_h=40.json,40,41,156,legacy_paper_c13,optimal,76353.0,79960,127158,6.881625413894653,15.031168,10.353587,
perf_p=40_h=40,perf_p=40_h=40.json,40,41,156,legacy_endpoint_split,optimal,76353.0,79960,159958,12.1488037109375,23.783982,11.520073,
perf_p=40_h=40,perf_p=40_h=40.json,40,41,156,legacy_corrected,optimal,76353.0,81640,100998,2.543297052383423,6.139275,3.041826,
perf_p=40_h=40,perf_p=40_h=40.json,40,41,156,event_based,optimal,76353.0,15600,68712,2.167111873626709,4.210409,3.6351,
perf_p=40_h=50,perf_p=40_h=50.json,40,43,160,legacy_paper_c13,optimal,78413.0,86880,137804,7.384814500808716,16.591064,12.18674,
perf_p=40_h=50,perf_p=40_h=50.json,40,43,160,legacy_endpoint_split,optimal,78413.0,86880,173924,14.022573471069336,27.620596,12.440038,
perf_p=40_h=50,perf_p=40_h=50.json,40,43,160,legacy_corrected,optimal,78413.0,88640,108644,2.703941822052002,6.67928,4.998355,
perf_p=40_h=50,perf_p=40_h=50.json,40,43,160,event_based,optimal,78413.0,16000,70398,1.9580585956573486,3.825606,2.432496,
perf_p=40_h=7,perf_p=40_h=7.json,40,8,140,legacy_paper_c13,optimal,68069.0,22480,75629,1.2509794235229492,3.21766,2.228815,
perf_p=40_h=7,perf_p=40_h=7.json,40,8,140,legacy_endpoint_split,optimal,68069.0,22480,76749,1.3935205936431885,3.421086,2.044997,
perf_p=40_h=7,perf_p=40_h=7.json,40,8,140,legacy_corrected,optimal,68069.0,22840,75869,1.1196496486663818,2.875751,1.72283,
perf_p=40_h=7,perf_p=40_h=7.json,40,8,140,event_based,optimal,68069.0,14000,104189,2.132540225982666,4.350635,1.86216,
perf_p=50_h=15,perf_p=50_h=15.json,50,16,188,legacy_paper_c13,optimal,91784.0,59000,119155,3.05964732170105,7.588725,5.514237,
perf_p=50_h=15,perf_p=50_h=15.json,50,16,188,legacy_endpoint_split,optimal,91784.0,59000,125155,4.110067844390869,9.3827,5.825193,
perf_p=50_h=15,perf_p=50_h=15.json,50,16,188,legacy_corrected,optimal,91784.0,59850,116455,2.241528272628784,5.8368,4.023045,
perf_p=50_h=15,perf_p=50_h=15.json,50,16,188,event_based,optimal,91784.0,23500,140993,3.733670473098755,6.932704,3.506771,
perf_p=50_h=30,perf_p=50_h=30.json,50,31,196,legacy_paper_c13,optimal,95902.0,106950,162728,7.522084474563599,16.364751,11.790577,
perf_p=50_h=30,perf_p=50_h=30.json,50,31,196,legacy_endpoint_split,optimal,95902.0,106950,185978,12.547000169754028,25.061353,12.608248,
perf_p=50_h=30,perf_p=50_h=30.json,50,31,196,legacy_corrected,optimal,95902.0,108550,145778,3.2803680896759033,8.490646,6.074376,
perf_p=50_h=30,perf_p=50_h=30.json,50,31,196,event_based,optimal,95902.0,24500,120886,3.6261730194091797,6.84582,3.43559,
perf_p=50_h=40,perf_p=50_h=40.json,50,41,196,legacy_paper_c13,optimal,96016.0,138450,206488,11.020892858505249,23.402442,15.905184,
perf_p=50_h=40,perf_p=50_h=40.json,50,41,196,legacy_endpoint_split,optimal,96016.0,138450,247488,21.84906315803528,39.429577,17.120244,
perf_p=50_h=40,perf_p=50_h=40.json,50,41,196,legacy_corrected,optimal,96016.0,140550,173788,3.7544236183166504,9.886135,8.144359,
perf_p=50_h=40,perf_p=50_h=40.json,50,41,196,event_based,optimal,96016.0,24500,113912,3.2106568813323975,6.216159,3.884524,
perf_p=50_h=50,perf_p=50_h=50.json,50,51,196,legacy_paper_c13,optimal,95906.0,149950,236198,13.693127632141113,30.604215,22.29618,
perf_p=50_h=50,perf_p=50_h=50.json,50,51,196,legacy_endpoint_split,optimal,95906.0,149950,299948,26.589740991592407,51.761858,23.526817,
perf_p=50_h=50,perf_p=50_h=50.json,50,51,196,legacy_corrected,optimal,95906.0,152550,182748,5.023666143417358,14.539549,5.305274,
perf_p=50_h=50,perf_p=50_h=50.json,50,51,196,event_based,optimal,95906.0,24500,107892,3.2285001277923584,6.300518,3.745989,
perf_p=50_h=7,perf_p=50_h=7.json,50,8,172,legacy_paper_c13,optimal,83499.0,34200,133331,1.9656126499176025,5.033479,3.618332,
perf_p=50_h=7,perf_p=50_h=7.json,50,8,172,legacy_endpoint_split,optimal,83499.0,34200,134731,2.28227162361145,5.725097,3.648233,
perf_p=50_h=7,perf_p=50_h=7.json,50,8,172,legacy_corrected,optimal,83499.0,34650,133631,1.7146015167236328,4.481319,3.171681,
perf_p=50_h=7,perf_p=50_h=7.json,50,8,172,event_based,optimal,83499.0,21500,178121,3.6134021282196045,6.803476,3.241695,
