instance,variant,variables,constraints,c9_rows,z_variables,build_s,solver,status,objective,runtime_s
DataCplex_density=0.5_p=4_h=7_test_0,baseline,984,1964,224,616,0.064169,none,built,,
DataCplex_density=0.5_p=4_h=7_test_0,strong,984,1964,224,616,0.060909,none,built,,
