instance,tier,baseline_lp_status,baseline_lp_objective,baseline_lp_dual,baseline_lp_primal,baseline_lp_gap,baseline_lp_runtime,baseline_lp_vars,baseline_lp_cons,baseline_lp_z,baseline_lp_flights,baseline_lp_aircraft,baseline_milp_status,baseline_milp_objective,baseline_milp_dual,baseline_milp_primal,baseline_milp_gap,baseline_milp_runtime,baseline_milp_vars,baseline_milp_cons,baseline_milp_z,baseline_milp_flights,baseline_milp_aircraft,combined_lp_status,combined_lp_objective,combined_lp_dual,combined_lp_primal,combined_lp_gap,combined_lp_runtime,combined_lp_vars,combined_lp_cons,combined_lp_z,combined_lp_flights,combined_lp_aircraft,combined_milp_status,combined_milp_objective,combined_milp_dual,combined_milp_primal,combined_milp_gap,combined_milp_runtime,combined_milp_vars,combined_milp_cons,combined_milp_z,combined_milp_flights,combined_milp_aircraft,heuristic_objective,heuristic_primal,heuristic_status,heuristic_coverage
DataCplex_density=0.65_p=8_h=14_test_2,Small,optimal,29776.0,29776.0,29776.0,0.0,0.773985,2896.0,6598.0,2048.0,64,8,optimal,29776.0,29776.0,29776.0,0.0,1.724061,2896.0,6598.0,2048.0,64,8,optimal,29776.0,29776.0,29776.0,0.0,0.458752,1104.0,3269.0,256.0,64,8,optimal,29776.0,29776.0,29776.0,0.0,1.029989,1104.0,3269.0,256.0,64,8,43115.0,,partial,0.84375
DataCplex_density=0.65_p=8_h=14_test_3,Small,optimal,29744.0,29744.0,29744.0,0.0,0.766325,2896.0,6598.0,2048.0,64,8,optimal,29744.0,29744.0,29744.0,0.0,1.693113,2896.0,6598.0,2048.0,64,8,optimal,29744.0,29744.0,29744.0,0.0,0.414896,1104.0,3269.0,256.0,64,8,optimal,29744.0,29744.0,29744.0,0.0,0.962732,1104.0,3269.0,256.0,64,8,43099.0,,partial,0.84375
DataCplex_density=0.65_p=8_h=14_test_4,Small,optimal,29777.0,29777.0,29777.0,0.0,0.774467,2896.0,6598.0,2048.0,64,8,optimal,29777.0,29777.0,29777.0,0.0,1.70736,2896.0,6598.0,2048.0,64,8,optimal,29777.0,29777.0,29777.0,0.0,0.388523,1104.0,3269.0,256.0,64,8,optimal,29777.0,29777.0,29777.0,0.0,1.005273,1104.0,3269.0,256.0,64,8,43116.0,,partial,0.84375
DataCplex_density=0.65_p=8_h=14_test_5,Small,optimal,29730.0,29730.0,29730.0,0.0,0.769495,2896.0,6598.0,2048.0,64,8,optimal,29730.0,29730.0,29730.0,0.0,1.702328,2896.0,6598.0,2048.0,64,8,optimal,29730.0,29730.0,29730.0,0.0,0.404553,1104.0,3269.0,256.0,64,8,optimal,29730.0,29730.0,29730.0,0.0,0.996688,1104.0,3269.0,256.0,64,8,43132.0,,partial,0.84375
DataCplex_density=0.65_p=8_h=14_test_6,Small,optimal,29797.0,29797.0,29797.0,0.0,0.777812,2896.0,6598.0,2048.0,64,8,optimal,29797.0,29797.0,29797.0,0.0,1.720033,2896.0,6598.0,2048.0,64,8,optimal,29797.0,29797.0,29797.0,0.0,0.396286,1104.0,3269.0,256.0,64,8,optimal,29797.0,29797.0,29797.0,0.0,0.996297,1104.0,3269.0,256.0,64,8,43165.0,,partial,0.84375
DataCplex_density=0.65_p=8_h=14_test_7,Small,optimal,29759.0,29759.0,29759.0,0.0,0.817975,2896.0,6598.0,2048.0,64,8,optimal,29759.0,29759.0,29759.0,0.0,1.682335,2896.0,6598.0,2048.0,64,8,optimal,29759.0,29759.0,29759.0,0.0,0.393614,1104.0,3269.0,256.0,64,8,optimal,29759.0,29759.0,29759.0,0.0,0.998616,1104.0,3269.0,256.0,64,8,43110.0,,partial,0.84375
DataCplex_density=0.65_p=8_h=14_test_8,Small,optimal,29771.0,29771.0,29771.0,0.0,0.76654,2896.0,6598.0,2048.0,64,8,optimal,29771.0,29771.0,29771.0,0.0,1.716396,2896.0,6598.0,2048.0,64,8,optimal,29771.0,29771.0,29771.0,0.0,0.389954,1104.0,3269.0,256.0,64,8,optimal,29771.0,29771.0,29771.0,0.0,0.973014,1104.0,3269.0,256.0,64,8,43106.0,,partial,0.84375
DataCplex_density=0.65_p=8_h=14_test_9,Small,optimal,29784.0,29784.0,29784.0,0.0,0.81214,2896.0,6598.0,2048.0,64,8,optimal,29784.0,29784.0,29784.0,0.0,1.675618,2896.0,6598.0,2048.0,64,8,optimal,29784.0,29784.0,29784.0,0.0,0.399367,1104.0,3269.0,256.0,64,8,optimal,29784.0,29784.0,29784.0,0.0,0.99161,1104.0,3269.0,256.0,64,8,43147.0,,partial,0.84375
sma1_p8_h8_r1,Medium,optimal,161149.59999999992,161149.59999999992,161149.59999999992,0.0,2.803166,10912.0,19320.0,9120.0,128,8,optimal,161149.6,161149.6,161149.6,0.0,5.025052,10912.0,19320.0,9120.0,128,8,optimal,161149.59999999992,161149.59999999992,161149.59999999992,0.0,1.881933,5952.0,17400.0,4160.0,128,8,optimal,161149.6,161149.6,161149.6,0.0,3.21647,5952.0,17400.0,4160.0,128,8,57345.3,,partial,0.34375
sma1_p8_h8_r2,Medium,optimal,161987.1,161987.1,161987.1,0.0,3.046283,10912.0,19320.0,9120.0,128,8,optimal,161987.1,161987.09999999998,161987.1,1.7966758128723644e-16,5.3826,10912.0,19320.0,9120.0,128,8,optimal,161987.09999999995,161987.09999999995,161987.09999999995,0.0,2.10221,5952.0,16952.0,4160.0,128,8,optimal,161987.1,161987.09999999998,161987.1,1.7966758128723644e-16,3.399096,5952.0,16952.0,4160.0,128,8,52241.4,,partial,0.3125
sma1_p8_h8_r3,Medium,optimal,159245.30000000002,159245.30000000002,159245.30000000002,0.0,2.724092,10912.0,19320.0,9120.0,128,8,optimal,159245.3,159245.3,159245.3,0.0,4.550342,10912.0,19320.0,9120.0,128,8,optimal,159245.30000000002,159245.30000000002,159245.30000000002,0.0,1.967897,5952.0,16952.0,4160.0,128,8,optimal,159245.3,159245.3,159245.3,0.0,3.043586,5952.0,16952.0,4160.0,128,8,65177.3,,partial,0.390625
sma1_p8_h8_r4,Medium,optimal,160758.7749999999,160758.7749999999,160758.7749999999,0.0,3.193083,10912.0,19320.0,9120.0,128,8,optimal,161360.8,161360.80000000002,161360.8,1.803649365690657e-16,5.088155,10912.0,19320.0,9120.0,128,8,optimal,160758.7749999999,160758.7749999999,160758.7749999999,0.0,2.329155,5952.0,17032.0,4160.0,128,8,optimal,161360.8,161360.80000000002,161360.8,1.803649365690657e-16,3.249016,5952.0,17032.0,4160.0,128,8,64876.7,,partial,0.3828125
sma1_p8_h8_r5,Medium,optimal,161585.95000000016,161585.95000000016,161585.95000000016,0.0,3.112304,10912.0,19320.0,9120.0,128,8,optimal,161904.1,161904.1,161904.1,0.0,4.53694,10912.0,19320.0,9120.0,128,8,optimal,161585.95000000013,161585.95000000013,161585.95000000013,0.0,2.386499,5952.0,17592.0,4160.0,128,8,optimal,161904.1,161904.1,161904.1,0.0,3.149288,5952.0,17592.0,4160.0,128,8,67447.79999999999,,partial,0.3984375
