instance,variant,variables,constraints,c9_rows,z_variables,build_s,solver,status,objective,runtime_s,error
step7_long_control,baseline,52,106,12,24,0.020313,highs,optimal,120.0,0.032711,
step7_long_control,strong,52,106,12,24,0.01109,highs,optimal,120.0,0.014832,
