case,file,P,H,F,formulation,status,objective,vars,constraints,cpu_s,wall_s,build_s,error
perf_p=40_h=7,perf_p=40_h=7.json,40,8,140,event_based,optimal,68069.0,14000,104189,1.9955501556396484,3.959205,1.972756,
perf_p=5_h=15,perf_p=5_h=15.json,5,8,20,legacy_paper_c13,optimal,9785.0,535,954,0.2815127372741699,0.571426,0.031391,
perf_p=5_h=15,perf_p=5_h=15.json,5,8,20,legacy_endpoint_split,optimal,9785.0,535,1094,0.2814915180206299,0.575405,0.03117,
perf_p=5_h=15,perf_p=5_h=15.json,5,8,20,legacy_corrected,optimal,9785.0,580,984,0.2844960689544678,0.565761,0.026283,
perf_p=5_h=15,perf_p=5_h=15.json,5,8,20,event_based,optimal,9785.0,250,1098,0.28001952171325684,0.56243,0.020789,
perf_p=5_h=30,perf_p=5_h=30.json,5,8,20,legacy_paper_c13,optimal,9819.0,535,954,0.2844820022583008,0.571024,0.030732,
perf_p=5_h=30,perf_p=5_h=30.json,5,8,20,legacy_endpoint_split,optimal,9819.0,535,1094,0.2846107482910156,0.570638,0.031516,
perf_p=5_h=30,perf_p=5_h=30.json,5,8,20,legacy_corrected,optimal,9819.0,580,984,0.2850313186645508,0.562928,0.026065,
perf_p=5_h=30,perf_p=5_h=30.json,5,8,20,event_based,optimal,9819.0,250,1098,0.28818774223327637,0.578201,0.020355,
perf_p=5_h=7,perf_p=5_h=7.json,5,8,20,legacy_paper_c13,optimal,9800.0,535,954,0.2811257839202881,0.563775,0.031134,
perf_p=5_h=7,perf_p=5_h=7.json,5,8,20,legacy_endpoint_split,optimal,9800.0,535,1094,0.2884485721588135,0.578931,0.030778,
perf_p=5_h=7,perf_p=5_h=7.json,5,8,20,legacy_corrected,optimal,9800.0,580,984,0.2879974842071533,0.567332,0.026131,
perf_p=5_h=7,perf_p=5_h=7.json,5,8,20,event_based,optimal,9800.0,250,1098,0.2789900302886963,0.560555,0.02061,
