instance,variant,mode,flights,aircraft,days,variables,constraints,z_variables,build_s,solver,time_limit_s,status,objective,dual_bound,primal_bound,mip_gap,nodes,runtime_s,coverage,error
DataCplex_density=0.65_p=8_h=14_test_15,baseline,lp,64,8,14,2896,6598,2048,0.23393,highs,300,optimal,29767.0,29767.0,29767.0,0.0,,0.790247,,
DataCplex_density=0.65_p=8_h=14_test_15,baseline,milp,64,8,14,2896,6598,2048,0.275287,highs,300,optimal,29767.0,29767.0,29767.0,0.0,,1.671202,,
DataCplex_density=0.65_p=8_h=14_test_15,combined,lp,64,8,14,1104,3269,256,0.222675,highs,300,optimal,29767.0,29767.0,29767.0,0.0,,0.396455,,
DataCplex_density=0.65_p=8_h=14_test_15,combined,milp,64,8,14,1104,3269,256,0.222209,highs,300,optimal,29767.0,29767.0,29767.0,0.0,,0.992265,,
DataCplex_density=0.65_p=8_h=14_test_16,heuristic:greedy+insertion,heuristic,64,8,,,,,,none,,partial,43121.0,,,,,0.037042,0.84375,10 unassigned
DataCplex_density=0.65_p=8_h=14_test_16,baseline,lp,64,8,14,2896,6598,2048,0.242454,highs,300,optimal,29750.0,29750.0,29750.0,0.0,,0.823211,,
DataCplex_density=0.65_p=8_h=14_test_16,baseline,milp,64,8,14,2896,6598,2048,0.246203,highs,300,optimal,29750.0,29750.0,29750.0,0.0,,1.701383,,
DataCplex_density=0.65_p=8_h=14_test_16,combined,lp,64,8,14,1104,3269,256,0.221884,highs,300,optimal,29750.0,29750.0,29750.0,0.0,,0.399983,,
DataCplex_density=0.65_p=8_h=14_test_16,combined,milp,64,8,14,1104,3269,256,0.214412,highs,300,optimal,29750.0,29750.0,29750.0,0.0,,1.041971,,
DataCplex_density=0.65_p=8_h=14_test_17,heuristic:greedy+insertion,heuristic,64,8,,,,,,none,,partial,43103.0,,,,,0.037204,0.84375,10 unassigned
DataCplex_density=0.65_p=8_h=14_test_17,baseline,lp,64,8,14,2896,6598,2048,0.236333,highs,300,optimal,29716.0,29716.0,29716.0,0.0,,0.818772,,
DataCplex_density=0.65_p=8_h=14_test_17,baseline,milp,64,8,14,2896,6598,2048,0.279792,highs,300,optimal,29716.0,29716.0,29716.0,0.0,,1.687522,,
DataCplex_density=0.65_p=8_h=14_test_17,combined,lp,64,8,14,1104,3269,256,0.224294,highs,300,optimal,29716.0,29716.0,29716.0,0.0,,0.394796,,
DataCplex_density=0.65_p=8_h=14_test_17,combined,milp,64,8,14,1104,3269,256,0.223194,highs,300,optimal,29716.0,29716.0,29716.0,0.0,,1.023007,,
DataCplex_density=0.65_p=8_h=14_test_18,heuristic:greedy+insertion,heuristic,64,8,,,,,,none,,partial,43115.0,,,,,0.038217,0.84375,10 unassigned
DataCplex_density=0.65_p=8_h=14_test_18,baseline,lp,64,8,14,2896,6598,2048,0.279233,highs,300,optimal,29729.0,29729.0,29729.0,0.0,,0.77612,,
DataCplex_density=0.65_p=8_h=14_test_18,baseline,milp,64,8,14,2896,6598,2048,0.241361,highs,300,optimal,29729.0,29729.0,29729.0,0.0,,1.67188,,
DataCplex_density=0.65_p=8_h=14_test_18,combined,lp,64,8,14,1104,3269,256,0.222597,highs,300,optimal,29729.0,29729.0,29729.0,0.0,,0.431253,,
DataCplex_density=0.65_p=8_h=14_test_18,combined,milp,64,8,14,1104,3269,256,0.219974,highs,300,optimal,29729.0,29729.0,29729.0,0.0,,0.991008,,
DataCplex_density=0.65_p=8_h=14_test_19,heuristic:greedy+insertion,heuristic,64,8,,,,,,none,,partial,43086.0,,,,,0.036239,0.84375,10 unassigned
DataCplex_density=0.65_p=8_h=14_test_19,baseline,lp,64,8,14,2896,6598,2048,0.231787,highs,300,optimal,29763.0,29763.0,29763.0,0.0,,0.76461,,
DataCplex_density=0.65_p=8_h=14_test_19,baseline,milp,64,8,14,2896,6598,2048,0.272955,highs,300,optimal,29763.0,29763.0,29763.0,0.0,,1.665999,,
DataCplex_density=0.65_p=8_h=14_test_19,combined,lp,64,8,14,1104,3269,256,0.22246,highs,300,optimal,29763.0,29763.0,29763.0,0.0,,0.399514,,
DataCplex_density=0.65_p=8_h=14_test_19,combined,milp,64,8,14,1104,3269,256,0.215438,highs,300,optimal,29763.0,29763.0,29763.0,0.0,,1.004264,,
