formulation,cases,performance_cases,performance_optimal,performance_infeasible,mean_vars,mean_constraints,mean_cpu_s,mean_wall_s
legacy_paper_c13,4,2,2,0,6200.0,10214.0,0.520999,1.129593
legacy_endpoint_split,4,2,2,0,6200.0,11554.0,0.620949,1.307421
legacy_corrected,4,2,2,0,6415.0,9704.0,0.448156,0.955902
event_based,4,2,2,0,2350.0,10991.0,0.392998,0.882445
