stem,P,H,F,vars,constraints,nodes_max,gap_pct,cpu_s,objective,formulation,routing_scope,status,build_s,wall_s,solver,time_limit_s,error
DataCplex_density=0.5_p=10_h=21_test_0,10,20,109,38630,82892,,,4.066512,881263.0,legacy_endpoint_split,legacy_day_indexed_routing,optimal,2.736492,6.452116,cplexamp,60,
DataCplex_density=0.5_p=10_h=21_test_0,10,20,109,13042,56425,,,8.980762,881263.0,event_exact_state,connected_event_arcs_no_ferry,optimal,1.706444,10.859438,cplexamp,60,
