AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
8,FLIGHT,F4,A,G,710.0,67.0,900.0,1800.0,9.507,13.507
8,FLIGHT,F8,G,E,914.0,82.0,833.0,1733.0,9.365,13.365
8,FERRY,FERRY,E,F,996.0,60.0,,,,
8,FLIGHT,F16,F,D,2072.0,123.0,751.0,1651.0,8.561,12.561
8,FLIGHT,F24,D,C,3305.0,119.0,628.0,1528.0,7.705,11.705
8,FLIGHT,F40,C,B,5506.0,140.0,509.0,1409.0,6.176,10.176
8,FLIGHT,F46,B,C,7622.0,165.0,369.0,1269.0,4.707,8.707
8,FERRY,FERRY,C,G,7787.0,60.0,,,,
8,FLIGHT,F49,G,H,7902.0,86.0,204.0,1104.0,4.513,8.512
8,FLIGHT,F54,H,I,7998.0,94.0,118.0,1018.0,4.446,8.446
8,FERRY,FERRY,I,B,8092.0,60.0,,,,
8,MAINT,A,B,B,8152.0,90.0,,,,
8,FLIGHT,F64,B,H,9395.0,79.0,900.0,924.0,3.476,7.476
8,FLIGHT,F70,H,G,9729.0,73.0,821.0,845.0,3.244,7.244
9,FERRY,FERRY,H,I,0.0,60.0,,,,
9,FLIGHT,F12,I,B,1106.0,117.0,900.0,1800.0,9.232,13.232
9,FLIGHT,F20,B,C,2342.0,90.0,783.0,1683.0,8.374,12.374
9,FLIGHT,F26,C,F,3510.0,103.0,693.0,1593.0,7.562,11.562
9,FERRY,FERRY,F,B,3613.0,60.0,,,,
9,FLIGHT,F33,B,I,3817.0,103.0,590.0,1490.0,7.349,11.349
9,FERRY,FERRY,I,G,3920.0,60.0,,,,
9,FLIGHT,F53,G,E,7964.0,152.0,487.0,1387.0,4.469,8.469
9,FERRY,FERRY,E,B,8116.0,60.0,,,,
9,FLIGHT,F66,B,C,9605.0,137.0,335.0,1235.0,3.33,7.33
