metric,count,mean,median,min,max
d_vars_strict_minus_legacy,5,465.4,392.0,144.0,960.0
d_cons_strict_minus_legacy,5,1760.6,1453.0,572.0,3640.0
d_vars_event_only_minus_legacy,5,465.4,392.0,144.0,960.0
d_cons_event_only_minus_legacy,5,640.8,403.0,67.0,1376.0
cpu_legacy,5,0.02540130615234375,0.02500152587890625,0.02299976348876953,0.028000593185424805
cpu_event_strict,5,0.02860112190246582,0.030001163482666016,0.0240018367767334,0.03300023078918457
cpu_event_only,5,0.028198957443237305,0.029997587203979492,0.023998022079467773,0.03099966049194336
