instance,status_legacy,status_event_strict,status_event_only,vars_legacy,vars_event_strict,vars_event_only,cons_legacy,cons_event_strict,cons_event_only,d_vars_strict_minus_legacy,d_cons_strict_minus_legacy,d_vars_event_only_minus_legacy,d_cons_event_only_minus_legacy,obj_legacy,obj_event_strict,obj_event_only,cpu_legacy,cpu_event_strict,cpu_event_only
ABCD_capacity_bottleneck_test.json,unknown,unknown,unknown,744,888,888,1510,2082,1759,144.0,572.0,144.0,249.0,,,,0.029001235961914062,0.025000333786010742,0.024003982543945312
ABCD_check_hierarchy_test.json,unknown,unknown,unknown,1220,1571,1571,2813,4168,3216,351.0,1355.0,351.0,403.0,,,,0.025000572204589844,0.03299999237060547,0.02799677848815918
