Dataset : data/phase1_25\I52_density=0.65_p=20_h=21.json
Mode    : heuristic
Flights : 273/273 assigned  (0 unassigned)
Cost    : 746601
CPU     : 1.6s

  AID    Flt   Busy(min)   Free(min)
    0     14        1906       28111
    1      9        1329       28688
    2     15        2015       28002
    3     12        1935       28082
    4     10        1496       28521
    5     15        2372       27645
    6     15        2064       27953
    7     13        1987       28030
    8     17        2449       27568
    9     16        2570       27447
   10     14        1864       28153
   11     17        1949       28068
   12     13        2103       27914
   13     18        2458       27559
   14     15        2509       27508
   15      9        1513       28504
   16     11        1734       28283
   17     18        2766       27251
   18     12        1706       28311
   19     10        1624       28393
