Dataset : data/phase1_25\I51_density=0.5_p=20_h=21.json
Mode    : heuristic
Flights : 210/210 assigned  (0 unassigned)
Cost    : 578213
CPU     : 1.2s

  AID    Flt   Busy(min)   Free(min)
    0     13        1825       28159
    1     11        1482       28502
    2     14        1880       28104
    3     10        1749       28235
    4     11        1475       28509
    5      7        1002       28982
    6      9        1484       28500
    7     12        1698       28286
    8     12        1495       28489
    9     15        2009       27975
   10      8        1369       28615
   11      7        1008       28976
   12      8        1080       28904
   13     11        1606       28378
   14     10        1315       28669
   15      9        1358       28626
   16     11        1658       28326
   17     10        1579       28405
   18     12        1577       28407
   19     10        1392       28592
