Dataset : data/phase1_25\I32_density=0.65_p=12_h=14.json
Mode    : heuristic
Flights : 109/109 assigned  (0 unassigned)
Cost    : 323922
CPU     : 0.7s

  AID    Flt   Busy(min)   Free(min)
    0      8        1111       18903
    1      8         985       19029
    2      7        1124       18890
    3      8        1342       18672
    4     14        2014       18000
    5     13        1903       18111
    6     11        1613       18401
    7      7        1177       18837
    8      9        1538       18476
    9      7        1125       18889
   10      7        1090       18924
   11     10        1438       18576
