Dataset : data/phase1_25\I54_density=0.95_p=20_h=21.json
Mode    : heuristic
Flights : 399/399 assigned  (0 unassigned)
Cost    : 1155702
CPU     : 2.1s

  AID    Flt   Busy(min)   Free(min)
    0     20        3183       26975
    1     21        3176       26982
    2     24        3656       26502
    3     15        2738       27420
    4     19        3185       26973
    5     22        3337       26821
    6     19        2735       27423
    7     16        2732       27426
    8     23        3553       26605
    9     24        3552       26606
   10     17        2997       27161
   11     16        2751       27407
   12     22        3296       26862
   13     21        3164       26994
   14     22        3595       26563
   15     15        2845       27313
   16     23        3174       26984
   17     15        2429       27729
   18     26        3717       26441
   19     19        3260       26898
