Dataset : data/phase1_25\I45_density=1_p=16_h=18.json
Mode    : heuristic
Flights : 288/288 assigned  (0 unassigned)
Cost    : 840423
CPU     : 1.6s

  AID    Flt   Busy(min)   Free(min)
    0     17        3069       22556
    1     14        2247       23378
    2     21        3500       22125
    3     22        3385       22240
    4     18        2929       22696
    5     17        2565       23060
    6     22        3571       22054
    7     23        3275       22350
    8     15        2494       23131
    9     18        2885       22740
   10     14        2365       23260
   11     15        1986       23639
   12     18        2768       22857
   13     18        2912       22713
   14     18        2866       22759
   15     18        2740       22885
