Dataset : data/phase1_25\I33_density=0.8_p=12_h=14.json
Mode    : heuristic
Flights : 134/134 assigned  (0 unassigned)
Cost    : 441799
CPU     : 0.9s

  AID    Flt   Busy(min)   Free(min)
    0     11        1802       18180
    1     12        1788       18194
    2     10        1446       18536
    3     11        1602       18380
    4     11        1715       18267
    5     15        1991       17991
    6     13        1923       18059
    7      8        1306       18676
    8      8        1315       18667
    9     13        2066       17916
   10      8        1342       18640
   11     14        1979       18003
