AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
0,FERRY,FERRY,F,B,0.0,60.0,,,,
0,FLIGHT,F8,B,K,1048.0,139.0,900.0,1800.0,22.272,25.272
0,FLIGHT,F36,K,G,3758.0,148.0,761.0,1661.0,20.39,23.39
0,FLIGHT,F48,G,L,4930.0,114.0,613.0,1513.0,19.576,22.576
0,FLIGHT,F61,L,D,6217.0,110.0,499.0,1399.0,18.683,21.683
0,FLIGHT,F68,D,K,6427.0,127.0,389.0,1289.0,18.537,21.537
0,FLIGHT,F70,K,F,6628.0,67.0,262.0,1162.0,18.397,21.397
0,FLIGHT,F108,F,A,10469.0,108.0,195.0,1095.0,15.73,18.73
0,MAINT,A,A,A,10577.0,90.0,,,,
0,FLIGHT,F119,A,J,12098.0,164.0,900.0,987.0,14.599,17.599
0,FERRY,FERRY,J,K,12262.0,60.0,,,,
0,FLIGHT,F126,K,H,12339.0,136.0,736.0,823.0,14.431,17.431
0,FERRY,FERRY,H,B,12475.0,60.0,,,,
0,FLIGHT,F167,B,G,16620.0,76.0,600.0,687.0,11.458,14.458
0,FLIGHT,F201,G,L,19843.0,65.0,524.0,611.0,9.22,12.22
0,FERRY,FERRY,L,B,19908.0,60.0,,,,
0,FLIGHT,F206,B,F,20682.0,77.0,459.0,546.0,8.637,11.637
0,FLIGHT,F248,F,K,23721.0,105.0,382.0,469.0,6.527,9.527
0,FERRY,FERRY,K,L,23826.0,60.0,,,,
0,FLIGHT,F274,L,C,25565.0,141.0,277.0,364.0,5.247,8.247
0,FERRY,FERRY,C,L,25706.0,60.0,,,,
0,FLIGHT,F311,L,K,28253.0,127.0,136.0,223.0,3.38,6.38
1,FERRY,FERRY,I,G,0.0,60.0,,,,
1,FLIGHT,F2,G,D,485.0,79.0,900.0,1800.0,22.663,25.663
1,FLIGHT,F39,D,B,3859.0,68.0,821.0,1721.0,20.32,23.32
1,FERRY,FERRY,B,L,3927.0,60.0,,,,
1,FLIGHT,F71,L,J,6940.0,153.0,753.0,1653.0,18.181,21.181
1,FERRY,FERRY,J,B,7093.0,60.0,,,,
1,FLIGHT,F131,B,H,12692.0,136.0,600.0,1500.0,14.186,17.186
1,FLIGHT,F172,H,E,17642.0,119.0,464.0,1364.0,10.749,13.749
1,FLIGHT,F176,E,C,18059.0,83.0,345.0,1245.0,10.459,13.459
1,FLIGHT,F183,C,H,18264.0,148.0,262.0,1162.0,10.317,13.317
1,FERRY,FERRY,H,B,18412.0,60.0,,,,
1,FLIGHT,F189,B,F,19108.0,60.0,114.0,1014.0,9.731,12.731
1,MAINT,A,F,F,19168.0,90.0,,,,
1,FLIGHT,F207,F,H,20685.0,154.0,900.0,954.0,8.635,11.635
1,FLIGHT,F212,H,C,21014.0,80.0,746.0,800.0,8.407,11.407
1,FLIGHT,F237,C,H,22657.0,94.0,666.0,720.0,7.266,10.266
1,FLIGHT,F240,H,F,23463.0,94.0,572.0,626.0,6.706,9.706
1,FLIGHT,F243,F,A,23669.0,88.0,478.0,532.0,6.563,9.563
1,FLIGHT,F261,A,K,25024.0,93.0,390.0,444.0,5.622,8.622
1,FERRY,FERRY,K,I,25117.0,60.0,,,,
1,FLIGHT,F276,I,G,25602.0,136.0,297.0,351.0,5.221,8.221
1,FLIGHT,F286,G,L,26618.0,97.0,161.0,215.0,4.515,7.515
1,MAINT,A,L,L,26715.0,90.0,,,,
1,FLIGHT,F301,L,H,27800.0,109.0,900.0,118.0,3.694,6.694
1,FERRY,FERRY,H,B,27909.0,60.0,,,,
1,MAINT,B,B,B,27969.0,180.0,,,,
1,FLIGHT,F321,B,L,29251.0,170.0,900.0,1800.0,2.687,5.687
2,FERRY,FERRY,A,D,0.0,60.0,,,,
2,FLIGHT,F1,D,I,397.0,167.0,900.0,1800.0,22.724,25.724
2,FLIGHT,F38,I,F,3827.0,140.0,733.0,1633.0,20.342,23.342
2,FLIGHT,F73,F,B,7575.0,113.0,593.0,1493.0,17.74,20.74
2,FLIGHT,F88,B,I,8259.0,165.0,480.0,1380.0,17.265,20.265
2,FLIGHT,F98,I,G,9123.0,75.0,315.0,1215.0,16.665,19.665
2,FLIGHT,F99,G,L,9219.0,72.0,240.0,1140.0,16.598,19.598
2,FERRY,FERRY,L,I,9291.0,60.0,,,,
2,FLIGHT,F110,I,H,10613.0,121.0,168.0,1068.0,15.63,18.63
2,FERRY,FERRY,H,E,10734.0,60.0,,,,
2,MAINT,A,E,E,10794.0,90.0,,,,
2,FLIGHT,F158,E,K,15512.0,179.0,900.0,947.0,12.228,15.228
2,FLIGHT,F178,K,G,18119.0,74.0,721.0,768.0,10.417,13.417
2,FERRY,FERRY,G,E,18193.0,60.0,,,,
2,FLIGHT,F198,E,B,19681.0,119.0,647.0,694.0,9.333,12.333
2,FLIGHT,F203,B,G,20534.0,70.0,528.0,575.0,8.74,11.74
2,FLIGHT,F229,G,F,22437.0,84.0,458.0,505.0,7.419,10.419
2,FLIGHT,F262,F,A,25058.0,122.0,374.0,421.0,5.599,8.599
2,FERRY,FERRY,A,I,25180.0,60.0,,,,
2,FLIGHT,F277,I,K,25609.0,93.0,252.0,299.0,5.216,8.216
2,FERRY,FERRY,K,H,25702.0,60.0,,,,
